Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 35c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,108,NA,NA,NA,NA,NA,Andropogongerardii,NA,NA,NA,197.4271296,1.94,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.519906641,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
24,14:03:19,7844,11.1,11.1,0.0745,127,0.987,1.34,6,0.5,2.25,22.06,23.02,21.58,399.57,376.68,12.819,14.766,48.27,55.6,299.6,1201,53,100.3,22.8,-0.0932,1,111114,-9999,-9999
25,14:05:04,7949,8.76,8.76,0.0736,81.4,0.968,1.33,6,0.5,2.25,21.99,22.97,21.56,299.3,281.21,12.878,14.788,48.84,55.9,299.6,1201,53,100.3,21.4,-0.0948,1,111114,-9999,-9999
26,14:07:23,8088,6.58,6.58,0.0816,50.3,1.05,1.31,6,0.5,2.25,21.99,22.94,21.57,199.37,185.81,12.857,14.935,48.78,56.47,299.6,1201,53,100.3,19.6,-0.0967,1,111114,-9999,-9999
27,14:09:08,8193,3.66,3.66,0.0951,27.6,1.19,1.28,6,0.5,2.25,22.11,22.92,21.76,100.31,92.75,12.847,15.198,48.39,57.03,299.6,1201,53,100.3,17.7,-0.11,1,111114,-9999,-9999
28,14:11:08,8313,2.18,2.18,0.118,13.6,1.41,1.24,6,0.5,2.25,22.14,22.9,21.76,49.74,45.24,12.843,15.622,48.31,58.5,299.6,1201,53,100.3,16.3,-0.12,1,111114,-9999,-9999
29,14:12:47,8412.5,-0.109,-0.109,0.14,0.478,1.61,1.2,6,0.5,2.25,22.28,22.89,21.95,-1.07,-0.85,12.791,15.961,47.69,59.28,299.6,1201,53,100.3,15,-0.132,1,111104,-9999,-9999
30,14:17:28,8693.5,11.6,11.6,0.153,240,1.73,1.19,6,0.5,2.25,22.4,22.9,22.15,400.1,375.47,12.675,16.091,46.74,59.33,299.6,1201,53,100.3,22.6,-0.117,1,111114,-9999,-9999
31,14:18:37,8762,11.5,11.5,0.148,239,1.71,1.21,6,0.5,2.25,22.46,22.97,22.15,400.22,375.92,12.665,16.03,46.54,58.91,299.6,1201,53,100.3,22.6,-0.116,1,111114,-9999,-9999
32,14:20:31,8876,11.3,11.3,0.126,416,1.52,1.25,6,0.5,2.25,22.48,23.08,22.15,600.24,575.92,12.768,15.769,47.07,57.86,299.6,1201,53,100.3,24.9,-0.1,1,111114,-9999,-9999
33,14:23:18,9043.5,11.8,11.8,0.094,551,1.23,1.34,6,0.5,2.25,22.22,23.16,21.54,799.66,774.03,12.631,15.06,47.09,56.15,299.6,1199,53,100.3,26.7,-0.0766,0.7,111114,-9999,-9999
