Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 20c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2013,294,NA,NA,NA,NA,NA,Acerrubrum,NA,NA,NA,-0.00010001,2.16,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,2.078075918,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
45,13:51:50,12309,2.32,2.32,0.0353,253,2.36,6.4,6,0.5,2.25,37.52,41.37,36.06,401.12,394.59,11.178,15.829,17.1,24.21,299.5,1200,0,99.2,11.9,0.946,1,111114,1,-0.207
46,13:55:34,12533,1.49,1.49,0.0343,199,2.27,6.35,6,0.5,2.25,36.86,41.21,35.39,300.1,295.77,11.179,15.661,17.73,24.84,299.5,1200,0,99.2,11.8,0.952,1,111114,1,-0.207
47,13:57:48,12667,0.945,0.945,0.0335,133,2.19,6.26,6,0.5,2.25,36.65,40.97,35.2,199.13,196.37,11.284,15.601,18.2,25.01,299.5,1201,0,99.19,11.1,0.952,1,111114,1,-0.207
48,14:01:18,12877,0.255,0.255,0.0343,76.5,2.21,6.19,6,0.5,2.25,37.13,40.82,36.15,98.62,97.68,11.282,15.646,17.73,24.44,299.5,1201,0,99.19,10.3,0.945,1,111114,1,-0.207
49,14:03:54,13032.5,-0.012,-0.012,0.0346,44.4,2.25,6.23,6,0.5,2.25,37.5,40.94,36.53,48.97,48.78,11.352,15.783,17.52,24.17,299.5,1201,0,99.2,9.67,0.945,1,111114,1,-0.207
50,14:06:11,13170,2.55,2.55,0.0347,241,2.26,6.25,6,0.5,2.25,37.54,40.99,36.53,400.63,393.74,11.273,15.733,17.33,24.04,299.5,1201,0,99.19,11.7,0.976,1,111114,1,-0.207
51,14:07:18,13236.5,2.29,2.29,0.0334,248,2.18,6.27,6,0.5,2.25,37.54,41.01,36.53,399,392.69,11.338,15.645,17.45,23.9,299.5,1201,0,99.19,12,0.98,1,111114,1,-0.207
52,14:09:49,13388,3.64,3.64,0.0328,360,2.16,6.31,6,0.5,2.25,37.56,41.07,36.53,600.75,590.9,11.257,15.51,17.28,23.67,299.5,1201,0,99.2,12.4,0.985,1,111114,1,-0.207
53,14:12:21,13540,4.53,4.53,0.0319,490,2.11,6.33,6,0.5,2.25,37.57,41.1,36.53,801.25,788.84,11.238,15.392,17.24,23.47,299.5,1201,0,99.19,15.1,0.967,1,111124,1,-0.207
54,14:15:27,13725.5,5.53,5.53,0.0306,606,2.03,6.36,6,0.5,2.25,37.59,41.13,36.53,999.82,984.72,11.281,15.287,17.31,23.29,299.5,1201,0,99.19,16.8,0.957,1,111124,1,-0.207
55,14:17:49,13868,6.48,6.48,0.0312,743,2.07,6.36,6,0.5,2.25,37.47,41.13,36.33,1201.1,1183.2,11.126,15.214,17.11,23.34,299.4,1201,0,99.19,17.1,0.951,1,111124,1,-0.207
