Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 30c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2013,331,NA,NA,NA,NA,NA,Acerrubrum,NA,NA,NA,NA,NA,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,NA,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
40,13:32:26,12361.5,-0.305,-0.305,0.0118,422,0.356,2.93,6,0.5,2.25,28.71,31.92,27.45,400.32,400.64,17.552,18.252,44.43,46.2,299.7,1199,370,100.1,24.4,-0.334,0.7,111114,-9999,-9999
41,13:35:54,12570.5,-0.281,-0.281,0.0128,320,0.392,2.97,6,0.5,2.25,28.58,32.12,27.3,300.05,300.38,17.57,18.339,44.8,46.76,299.7,1199,371,100.1,22.3,-0.268,0.3,111114,-9999,-9999
42,13:39:23,12779.5,-0.56,-0.56,0.0127,260,0.383,2.94,6,0.5,2.25,28.44,32.02,27.19,199.55,200.51,17.589,18.341,45.2,47.14,299.7,1201,387,100.1,20.4,-0.188,0.3,111114,-9999,-9999
43,13:42:52,12988.5,-0.606,-0.606,0.0129,170,0.388,2.93,6,0.5,2.25,28.64,31.96,27.45,99.88,101.01,17.597,18.359,44.7,46.63,299.7,1201,424,100.1,18,-0.11,0.3,111114,-9999,-9999
44,13:46:21,13197.5,-0.627,-0.627,0.013,124,0.391,2.93,6,0.5,2.25,28.94,31.99,27.99,49.17,50.39,17.603,18.37,43.94,45.85,299.8,1200,438,100.1,16.7,-0.0718,0.3,111114,-9999,-9999
45,13:49:50,13406.5,-0.184,-0.184,0.0123,405,0.374,2.95,6,0.5,2.25,28.61,31.98,27.4,400.61,400.68,17.438,18.172,44.39,46.26,299.8,1201,370,100.1,24.6,-0.293,0.3,111114,-9999,-9999
46,13:53:18,13614.5,-0.245,-0.245,0.0125,412,0.38,2.95,6,0.5,2.25,28.62,31.98,27.42,399.73,399.91,17.396,18.143,44.25,46.15,299.7,1201,371,100.1,24.6,-0.281,0.7,111114,-9999,-9999
47,13:56:47,13822.5,0.0751,0.0751,0.0123,561,0.376,2.96,6,0.5,2.25,28.61,31.98,27.42,599.96,599.36,17.315,18.055,44.06,45.94,299.8,1200,398,100,28.1,-0.365,0.3,111114,-9999,-9999
48,14:00:15,14031.5,0.152,0.152,0.0122,742,0.374,2.98,6,0.5,2.25,28.61,32,27.43,800.36,799.45,17.219,17.955,43.81,45.68,299.8,1201,446,100,31.2,-0.453,0.3,111114,-9999,-9999
49,14:03:44,14239.5,0.623,0.623,0.0121,870,0.371,2.98,6,0.5,2.25,28.62,31.99,27.43,1000.84,998.85,17.142,17.872,43.61,45.46,299.8,1201,372,100.1,33.5,-0.517,0.3,111114,-9999,-9999
50,14:07:12,14448.5,0.514,0.514,0.0118,1.07E+03,0.363,2.99,6,0.5,2.25,28.62,31.98,27.43,1200.08,1198.18,17.052,17.765,43.37,45.18,299.7,1200,371,100.1,35.8,-0.587,0.3,111114,-9999,-9999
51,14:10:42,14658.5,0.49,0.49,0.0125,1.36E+03,0.402,3.13,6,0.5,2.25,29.95,32.46,29,1499.97,1497.78,16.929,17.72,39.87,41.73,299.8,1201,387,100.1,36.3,-0.686,0.7,111114,-9999,-9999
52,14:14:11,14867.5,1.25,1.25,0.0114,1.73E+03,0.361,3.08,6,0.5,2.25,28.89,32.21,27.7,2000.31,1996.37,16.81,17.52,42.07,43.85,299.8,1202,426,100,39.5,-0.776,0.3,111114,-9999,-9999
