Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 30c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2015,72,NA,NA,NA,NA,NA,Betulaalleghaniensis,NA,NA,NA,285.763437,1.88,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.285567291,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
14,11:39:58,4294.000008,5.49179215,5.49179215,0.148993176,320.7455636,1.209091752,0.855316987,6,0.5,2.25,14.33292389,14.12372017,14.14129829,399.8618469,387.9260254,5.213053226,7.615671158,32.05097961,46.48086548,299.6440735,1200.049561,41.80385971,100.0420609,8.893287659,0.407063365,1,111114,-9999,-9999
15,11:41:51,4407.000008,4.583895253,4.583895253,0.146995771,233.3656122,1.198480119,0.858595324,6,0.5,2.25,14.13769245,14.12500477,13.74512196,299.5275574,289.6531067,5.202768326,7.584533215,32.38919449,46.87419128,299.6240845,1200.457764,49.35812378,100.0382919,9.044532776,0.406244636,1,111114,-9999,-9999
16,11:43:45,4521.000008,3.417537732,3.417537732,0.146857815,150.632467,1.193875765,0.856041558,6,0.5,2.25,14.10356617,14.07751942,13.74457836,199.6048431,192.3020172,5.188247681,7.560733795,32.36840439,46.82942581,299.6474915,1200.871826,40.50711823,100.0335159,8.83731842,0.397386432,1,111114,-9999,-9999
17,11:45:32,4628.000008,1.380961345,1.380961345,0.149665976,80.67487248,1.208322096,0.85112185,6,0.5,2.25,14.08915424,14.04711533,13.74646854,100.496254,97.49515533,5.177199364,7.578381538,32.33145142,46.97957993,299.6436462,1200.462524,40.70399475,100.0307083,8.386932373,0.399784923,1,111114,-9999,-9999
18,11:48:07,4783.000008,0.140397509,0.140397509,0.155500366,46.23941027,1.241861096,0.843951285,6,0.5,2.25,14.07615185,14.02547836,13.74634743,48.81147385,48.40999603,5.160078049,7.627595425,32.25850296,47.32424927,299.6668701,1200.492554,41.06135559,100.029541,7.822490692,0.394740462,1,111114,-9999,-9999
19,11:51:16,4972.000008,6.131675969,6.131675969,0.171739148,322.2221023,1.34151994,0.830995268,6,0.5,2.25,14.07323933,14.00920963,13.74658871,401.1281128,387.808136,5.074780464,7.740278721,31.49245262,48.02972031,299.6369324,1200.27832,40.77534103,100.028183,8.932994843,0.395817637,0.666666687,111114,-9999,-9999
20,11:52:16,5032.000008,5.424935112,5.424935112,0.17203687,329.6163221,1.337020593,0.82684792,6,0.5,2.25,14.07524014,14.01197338,13.7455883,400.0295715,388.1278381,5.128352642,7.784700394,32.08089066,48.29989624,299.6472778,1200.510864,48.25974274,100.0271225,8.993053436,0.396273971,1,111114,-9999,-9999
21,11:54:48,5184.000008,5.597044047,5.597044047,0.180836684,527.4585662,1.383482403,0.816865475,6,0.5,2.25,14.0623703,13.98391819,13.74664497,600.5179443,587.6826172,5.10704565,7.855516911,31.98345566,48.77973175,299.6460876,1200.442261,41.68416977,100.0244904,8.149669647,0.398848414,1,111114,-9999,-9999
22,11:57:14,5329.500008,5.677925372,5.677925372,0.182111473,723.8744514,1.385887017,0.812971446,6,0.5,2.25,14.05625153,13.97455978,13.74722195,800.6063232,787.0531006,5.131622314,7.884758949,32.22883987,48.97996521,299.6494141,1200.16626,41.56116867,100.0240173,6.795055389,0.396532416,1,111114,-9999,-9999
23,11:59:37,5473.000008,5.868006608,5.868006608,0.186709529,918.4356065,1.415737234,0.811553985,6,0.5,2.25,14.04741573,13.95331669,13.74901485,999.1997681,984.6587524,5.064605713,7.877058029,31.75700188,48.96096039,299.6499634,1200.395142,45.76031113,100.0216522,5.154369354,0.399199843,1,111114,-9999,-9999
24,12:02:08,5624.000008,6.052258182,6.052258182,0.1848632,1113.979006,1.408319398,0.814737269,6,0.5,2.25,14.03785992,13.94578457,13.74529076,1200.50354,1185.043945,5.040012836,7.837695122,31.62067413,48.74492264,299.6654968,1200.296387,41.46142578,100.0181046,2.924266815,0.398347735,1,111114,-9999,-9999
25,12:04:47,5783.000008,6.427209816,6.427209816,0.183453497,1404.638237,1.404868682,0.818493243,6,0.5,2.25,14.04182339,13.94613361,13.74590206,1500.578857,1483.536133,5.009737968,7.800825596,31.42255402,48.50198364,299.6486816,1200.281372,41.14269257,100.0139847,-0.99199295,0.396367431,1,111114,-9999,-9999
26,12:07:25,5941.000008,6.699621663,6.699621663,0.18078491,1892.567645,1.394331018,0.823426057,6,0.5,2.25,14.03771877,13.94542408,13.74632263,2000.435547,1981.488525,4.980830669,7.751105309,31.24892807,48.20258713,299.6504517,1200.192017,47.7754097,100.0096359,-8.555591583,0.398845077,1,111114,-9999,-9999
