Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 15c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2013,245,NA,NA,NA,NA,NA,Betulapapyrifera,NA,NA,NA,130.2392652,2.03,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,2.846600852,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
34,12:45:36,8457,9.94,9.94,0.101,199,3.03,3.02,6,0.5,2.25,28.58,32.2,27.14,399.48,377.26,12.319,18.287,31.28,46.18,299.3,1199,0,99.12,11.2,0.9,1,111114,-9999,-9999
35,12:47:41,8582.5,7.72,7.72,0.0963,138,2.92,3.03,6,0.5,2.25,28.11,32.17,26.58,298.83,281.71,12.37,18.111,32.33,46.99,299.3,1199,0,99.12,10.9,0.898,1,111114,-9999,-9999
36,12:51:06,8787,5.41,5.41,0.0951,85.3,2.88,3.03,6,0.5,2.25,28.01,32.19,26.53,198.47,186.54,12.447,18.125,32.79,47.31,299.3,1200,0,99.11,10.5,0.902,1,111114,-9999,-9999
37,12:53:21,8922.5,3.06,3.06,0.0974,37.5,2.92,3,6,0.5,2.25,27.91,32.06,26.44,99.47,92.8,12.34,18.093,32.63,47.49,299.4,1200,0,99.11,9.77,0.897,1,111114,-9999,-9999
38,12:55:52,9073.5,1.83,1.83,0.103,14.4,3.01,2.92,6,0.5,2.25,27.79,31.85,26.32,49.33,45.38,12.339,18.26,32.87,48.28,299.3,1201,0,99.11,9.32,0.892,1,111114,-9999,-9999
39,12:59:42,9303,10,10,0.108,209,3.11,2.9,6,0.5,2.25,28.02,31.75,26.8,399.81,377.42,12.174,18.292,31.77,47.74,299.3,1201,0,99.12,11.2,0.918,1,111114,-9999,-9999
40,13:00:49,9370.5,9.88,9.88,0.104,205,3.04,2.92,6,0.5,2.25,28.29,31.86,27.14,399.27,377.18,12.311,18.284,31.87,46.97,299.4,1201,0,99.12,11,0.916,1,111114,-9999,-9999
41,13:03:29,9530,12.7,12.7,0.0991,335,2.94,2.96,6,0.5,2.25,28.36,31.97,27.15,599.3,570.4,12.389,18.17,31.99,46.47,299.4,1201,0,99.11,11.1,0.929,1,111114,-9999,-9999
42,13:06:17,9698,15.7,15.7,0.0977,467,2.93,3,6,0.5,2.25,28.38,32.03,27.15,799.51,763.58,12.216,17.989,31.37,45.95,299.3,1201,0,99.12,10.6,0.942,1,111114,-9999,-9999
43,13:08:54,9855.5,17.7,17.7,0.0923,602,2.81,3.03,6,0.5,2.25,28.39,32.07,27.14,1000.3,959.38,12.254,17.78,31.51,45.4,299.4,1201,0,99.12,9.52,0.953,1,111114,-9999,-9999
44,13:11:24,10005.5,19.3,19.3,0.0881,745,2.71,3.07,6,0.5,2.25,28.4,32.13,27.15,1200.09,1155.17,12.24,17.583,31.45,44.87,299.4,1201,0,99.12,8.12,0.962,1,111114,-9999,-9999
