Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 30c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2013,317,NA,NA,NA,NA,NA,Betulapapyrifera,NA,NA,NA,NA,NA,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,NA,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
12,11:04:43,4830,0.0406,0.0406,0.00558,383,0.0486,0.877,6,0.5,2.25,12.32,13.9,12.25,400.27,400.15,6.962,7.058,49.17,49.86,299.9,1200,399,101.5,19.1,-0.296,0.3,111114,-9999,-9999
13,11:08:09,5036,0.118,0.118,0.00636,266,0.0557,0.882,6,0.5,2.25,12.6,13.92,12.57,300.24,299.96,6.919,7.03,47.97,48.74,299.8,1200,400,101.5,17.5,-0.256,0.3,111114,-9999,-9999
14,11:11:36,5243,-0.0829,-0.0829,0.00795,214,0.0704,0.892,6,0.5,2.25,13.01,13.99,13.16,200.47,200.61,6.86,7,46.31,47.25,299.8,1201,408,101.5,16.1,-0.21,0.3,111114,-9999,-9999
15,11:15:01,5448,-0.373,-0.373,0.00734,179,0.0648,0.89,6,0.5,2.25,13,13.91,13.15,99.06,99.79,6.813,6.942,46.03,46.9,299.9,1201,430,101.5,14.4,-0.162,0.3,111114,-9999,-9999
16,11:18:27,5654,-0.403,-0.403,0.00837,125,0.0747,0.899,6,0.5,2.25,13.14,13.96,13.34,48.42,49.22,6.752,6.9,45.19,46.18,299.9,1199,440,101.5,13.3,-0.131,0.3,111114,-9999,-9999
17,11:21:54,5861,0.0876,0.0876,0.00856,377,0.079,0.93,6,0.5,2.25,12.92,14.09,12.96,399.8,399.56,6.577,6.734,44.64,45.71,299.8,1200,395,101.5,18.9,-0.295,0.3,111114,-9999,-9999
18,11:25:19,6066,0.167,0.167,0.00906,364,0.083,0.923,6,0.5,2.25,12.98,13.96,13.16,399.68,399.28,6.501,6.666,43.96,45.07,299.9,1200,395,101.5,18.5,-0.302,0.3,111114,-9999,-9999
19,11:28:45,6272,0.464,0.464,0.00935,511,0.0863,0.93,6,0.5,2.25,12.66,13.92,12.43,600.13,599.1,6.384,6.556,44.1,45.29,299.9,1200,408,101.5,20.6,-0.354,0.3,111114,-9999,-9999
20,11:32:12,6479,0.387,0.387,0.0101,726,0.0945,0.944,6,0.5,2.25,13.01,13.98,13.17,799.82,798.89,6.294,6.482,42.47,43.74,299.9,1200,428,101.5,22.3,-0.404,0.3,111114,-9999,-9999
21,11:35:37,6684,0.599,0.599,0.00926,881,0.0883,0.961,6,0.5,2.25,13.04,14.05,13.15,1001.12,999.75,6.209,6.385,41.83,43.01,299.9,1200,447,101.5,23,-0.465,0.7,111114,-9999,-9999
22,11:39:03,6890,1.02,1.02,0.00919,1.00E+03,0.0881,0.967,6,0.5,2.25,12.99,14.02,13.14,1199.55,1197.29,6.117,6.292,41.33,42.52,299.9,1200,396,101.5,23.5,-0.508,0.7,111114,-9999,-9999
