Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 25c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,126,NA,NA,NA,NA,NA,Cedrelaoderata,NA,NA,NA,228.7683,1.08,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.628934543,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
27,6:53:38,8896.5,2.09,2.09,0.0327,287,0.361,1.09,6,0.5,2.25,21.22,22.65,20.62,401.23,396.77,16.114,16.825,63.3,66.09,300,1199,468,99.38,19.5,-0.327,0.7,111114,-9999,-9999
28,6:55:32,9010,1.37,1.37,0.0271,210,0.323,1.17,6,0.5,2.25,21.22,23.22,20.56,299.69,296.76,16.329,16.964,64.14,66.64,300.1,1199,468,99.37,18.3,-0.268,1,111114,-9999,-9999
29,6:57:11,9109.5,0.8,0.8,0.0252,144,0.287,1.12,6,0.5,2.25,20.78,23,19.88,200.05,198.33,16.537,17.101,66.76,68.98,300.1,1199,468,99.37,16.5,-0.197,1,111114,-9999,-9999
30,6:58:59,9217,-0.041,-0.041,0.0315,99.9,0.343,1.07,6,0.5,2.25,20.72,22.87,19.96,99.51,99.53,16.708,17.382,67.65,70.38,300,1199,466,99.36,14.7,-0.145,1,111114,-9999,-9999
31,7:02:48,9446,-0.245,-0.245,0.0488,81.3,0.497,1.01,6,0.5,2.25,20.98,22.9,20.35,73.96,74.38,17.049,18.026,67.96,71.86,300,1199,466,99.37,14.3,-0.126,1,111114,-9999,-9999
32,7:05:22,9600.5,2.36,2.36,0.0556,319,0.552,0.988,6,0.5,2.25,20.99,22.89,20.35,399.77,394.61,17.167,18.252,68.46,72.71,300,1199,468,99.37,19.5,-0.362,1,111114,-9999,-9999
33,7:06:25,9663,2.46,2.46,0.0581,320,0.574,0.983,6,0.5,2.25,20.99,22.92,20.35,400.08,394.71,17.219,18.345,68.6,73.08,300,1199,467,99.37,19.5,-0.368,1,111114,-9999,-9999
34,7:08:18,9776,3.16,3.16,0.0491,479,0.487,0.984,6,0.5,2.25,20.99,22.92,20.35,599.73,592.83,17.378,18.334,69.31,73.04,300.1,1199,467,99.37,21.5,-0.468,1,111114,-9999,-9999
35,7:10:41,9919.5,3.83,3.83,0.0377,615,0.383,1,6,0.5,2.25,20.99,22.97,20.35,799.83,791.57,17.486,18.238,69.67,72.64,300.1,1199,466,99.37,23.2,-0.532,1,111114,-9999,-9999
36,7:13:01,10059.5,4.46,4.46,0.0327,757,0.306,0.921,6,0.5,2.25,21.1,22.5,20.8,1000.48,990.94,17.653,18.253,69.88,72.25,300,1199,466,99.37,24.2,-0.595,1,111114,-9999,-9999
37,7:15:16,10194.5,4.35,4.35,0.0153,718,0.162,1.03,6,0.5,2.25,20.99,23.07,19.85,1199.67,1190.58,17.809,18.127,70.92,72.2,300,1200,466,99.36,23.8,-0.616,1,111114,-9999,-9999
38,7:17:48,10346,4.29,4.29,0.0136,965,0.136,0.974,6,0.5,2.25,20.56,22.82,19.79,1500.64,1491.66,17.993,18.26,73.59,74.68,300,1200,467,99.36,25.8,-0.728,1,111114,-9999,-9999
39,7:20:35,10513,4.57,4.57,0.0223,1.63E+03,0.217,0.953,6,0.5,2.25,21.73,22.93,21.33,1999.08,1989.07,18.237,18.663,69.47,71.04,300.1,1199,468,99.36,24.1,-0.861,1,111114,-9999,-9999
