Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 35c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,101,NA,NA,NA,NA,NA,Cedrelaoderta,NA,NA,NA,325.0543084,2.03,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.64891699,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
40,14:36:02,9961.5,0.532,0.532,0.00899,289,0.238,2.55,6,0.5,2.25,30.67,31.89,32.29,399.57,398.32,21.669,22.133,48.76,49.79,300.5,1201,63,99.42,25.3,-0.00556,1,111114,-9999,-9999
41,14:38:52,10131,0.258,0.258,0.00459,198,0.134,2.81,6,0.5,2.25,28.87,32.77,27.29,299.85,299.26,21.629,21.891,53.85,54.5,300.5,1201,63,99.42,23.7,0.00506,1,111114,-9999,-9999
42,14:40:40,10239.5,-0.0275,-0.0275,0.00561,199,0.141,2.42,6,0.5,2.25,27.42,31.34,26.05,199.53,199.53,21.601,21.877,58.54,59.29,300.5,1201,63,99.42,21.5,0.0272,1,111114,-9999,-9999
43,14:43:31,10410,-0.331,-0.331,0.0121,140,0.338,2.69,6,0.5,2.25,30.31,32.44,30.39,100.29,100.88,21.471,22.13,49.24,50.75,300.5,1199,63,99.42,19.4,-0.0167,1,111114,-9999,-9999
44,14:46:44,10603.5,-0.562,-0.562,0.0166,102,0.466,2.71,6,0.5,2.25,30.03,32.54,29.6,50.23,51.31,21.389,22.299,49.84,51.96,300.5,1199,62,99.41,18.1,0.018,1,111114,-9999,-9999
45,14:49:06,10745.5,1.1,1.1,0.0194,291,0.542,2.7,6,0.5,2.25,29.34,32.54,28.59,400.45,397.82,21.325,22.384,51.68,54.24,300.5,1199,62,99.4,25.2,0.0215,1,111114,-9999,-9999
46,14:51:40,10899,1.25,1.25,0.0212,289,0.49,2.25,6,0.5,2.25,27.64,30.79,26.63,399.61,396.73,21.271,22.228,56.94,59.5,300.5,1199,63,99.41,24.9,0.0301,0.7,111114,-9999,-9999
47,14:54:32,11071,1.97,1.97,0.022,430,0.572,2.52,6,0.5,2.25,30.01,31.83,30.13,600.97,596.35,21.139,22.255,49.33,51.93,300.5,1199,63,99.42,27.9,0.0113,1,111114,-9999,-9999
48,14:57:16,11235.5,2.23,2.23,0.0151,528,0.409,2.62,6,0.5,2.25,28.43,32.09,26.83,800.16,795.05,21.15,21.95,54.06,56.06,300.5,1199,63,99.41,30.1,0.0271,1,111114,-9999,-9999
49,15:00:08,11407.5,2.34,2.34,0.014,689,0.373,2.58,6,0.5,2.25,28.95,31.89,27.73,1000.34,994.92,21.058,21.787,52.15,53.96,300.5,1199,63,99.41,32.1,0.0343,0.7,111114,-9999,-9999
50,15:02:41,11560.5,2.62,2.62,0.00876,677,0.224,2.47,6,0.5,2.25,27.13,31.34,25.5,1200.68,1194.91,21.036,21.474,57.97,59.18,300.5,1199,63,99.42,33.1,0.0415,1,111114,-9999,-9999
51,15:05:17,11716.5,3.8,3.8,0.0101,833,0.276,2.64,6,0.5,2.25,29.58,32.01,30.28,1500.14,1491.74,20.941,21.479,50.15,51.43,300.5,1199,63,99.41,34,0.0384,0.7,111114,-9999,-9999
52,15:08:44,11923.5,3.32,3.32,0.00554,964,0.156,2.7,6,0.5,2.25,28.35,32.15,26.86,2000.29,1993.03,20.944,21.249,53.74,54.51,300.5,1199,64,99.41,34,0.0439,1,111114
