Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 15c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2015,12,NA,NA,NA,NA,NA,Cucumissativa,NA,NA,NA,227.41331,2.08,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,1.572369742,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
40,14:48:45,7441.000001,6.950442159,6.950442159,0.117698744,271.3103326,2.908039659,2.522192089,6,0.5,2.25,31.99043655,31.83934402,31.93098259,399.7061462,383.5506287,16.29463196,21.9912262,34.30443192,46.29953003,299.5567017,1198.764648,38.49223328,100.4783325,3.975379944,0.592592597,1,111114,-9999,-9999
41,14:50:44,7560.000001,4.612281837,4.612281837,0.11762392,212.7437852,2.8853088,2.503754726,6,0.5,2.25,32.45118713,31.83189774,32.72855759,299.474884,288.5696411,16.50449562,22.15527153,34.09142685,45.44086838,299.5748596,1199.348389,38.5537262,100.4764404,5.685249329,0.57765615,1,111114,-9999,-9999
42,14:52:22,7658.000001,2.749575963,2.749575963,0.131351788,150.8620425,3.199742962,2.499819925,6,0.5,2.25,32.66904449,31.98921776,32.91475677,199.8104248,193.0664368,16.35123062,22.61464119,33.27430725,45.81941223,299.5858459,1198.926025,38.5345459,100.4813614,5.349967957,0.553692222,1,111114,-9999,-9999
43,14:53:50,7746.000001,0.787330396,0.787330396,0.149118843,85.45072375,3.54006854,2.45340026,6,0.5,2.25,32.71839905,32.06560135,32.91470718,100.3332443,98.06095886,16.35541344,23.28089714,33.2049675,47.03384781,299.559082,1198.937866,38.66265106,100.4876175,4.380180359,0.632986426,1,111114,-9999,-9999
44,14:56:20,7896.000001,-1.4291904,-1.4291904,0.17991251,62.92228,4.071032932,2.367146061,6,0.5,2.25,32.77265549,32.13962936,32.91201401,49.11393356,51.55617523,16.38161469,24.3373642,33.18306351,49.02770233,299.5535278,1200.552368,38.17037964,100.4958954,4.98286438,0.549000144,1,111114,-9999,-9999
45,14:58:40,8036.000001,7.097807944,7.097807944,0.18855266,305.9569052,4.208644008,2.343092962,6,0.5,2.25,32.66519547,32.12479019,32.7208252,401.157135,383.7072449,16.31464958,24.53694725,33.12070084,49.75411606,299.5787964,1200.067383,40.4111557,100.4942245,5.621902466,0.621820807,1,111114,-9999,-9999
46,14:59:44,8100.000001,7.57354701,7.57354701,0.163349075,290.2512862,3.804822046,2.420837532,6,0.5,2.25,32.66412354,32.1227951,32.72164917,400.43927,382.3580017,16.31879044,23.75775337,33.08016205,48.17269516,299.5924072,1200.4198,38.39199448,100.494957,4.625228882,0.598242164,1,111114,-9999,-9999
47,15:02:05,8241.000001,9.431921604,9.431921604,0.129873775,435.2827632,3.218321104,2.541131376,6,0.5,2.25,32.67958832,32.1491394,32.7220459,600.927002,578.3106689,16.33270836,22.63206291,33.07946396,45.85146332,299.6005859,1199.967041,41.99288559,100.4949722,4.352584839,0.621254325,1,111114,-9999,-9999
48,15:04:26,8382.500001,11.50204415,11.50204415,0.101427855,556.0501972,2.640282459,2.639360287,6,0.5,2.25,32.54988861,32.10094452,32.52373123,800.3711548,773.2466431,16.34874535,21.5227623,33.35686874,43.9237709,299.5880737,1200.209351,38.82171631,100.5016632,1.413803101,0.66135633,1,111114,-9999,-9999
49,15:06:42,8518.500001,12.19909106,12.19909106,0.082214781,690.0074974,2.22284509,2.720128194,6,0.5,2.25,32.55374146,32.10077667,32.52555847,1000.674866,971.9160767,16.35873985,20.71835136,33.37063217,42.26660919,299.585144,1199.627563,38.06917572,100.5031662,-0.187026978,0.628971457,1,111114,-9999,-9999
50,15:09:05,8661.500001,12.82785063,12.82785063,0.072702613,836.3424539,1.943304228,2.680324154,6,0.5,2.25,31.87177277,31.75964355,31.603899,1200.810913,1170.563843,16.38591576,20.19929314,34.74300385,42.83236694,299.5849609,1199.881836,40.07044983,100.507515,-1.142837524,0.657610297,0.666666687,111114,-9999,-9999
51,15:11:28,8804.500001,14.45332009,14.45332009,0.067270297,1055.598136,1.848427207,2.748494304,6,0.5,2.25,32.49687576,31.9462471,32.52565384,1499.36084,1464.991943,16.39111519,20.01885986,33.54659653,40.9745369,299.5950317,1199.816772,38.23532486,100.5092316,-6.977798462,0.619831443,1,111114,-9999,-9999
52,15:13:54,8950.500001,14.10301297,14.10301297,0.066223772,1536.391989,1.841832961,2.780329661,6,0.5,2.25,32.55490875,32.06620789,32.52629471,2001.092285,1965.597412,16.40934944,20.02416611,33.47492981,40.84764099,299.5922546,1199.550293,45.07175827,100.5123978,-11.82460022,0.648382545,1,111114,-9999,-9999
