,Genus,Species,gt,rep,mt,Tav,Rmt,SLA,N
agerardii_gt25C_r1_mt14_data,Andropogon,gerardii,gt25,r1,mt14,13.9075,0.380694674728382,161.588166058341,2.05
agerardii_gt25C_r1_mt23_data,Andropogon,gerardii,gt25,r1,mt23,23.046,0.649698923615279,161.588166058341,2.05
agerardii_gt25C_r1_mt25_data,Andropogon,gerardii,gt25,r1,mt25,25.114,0.730700888029425,161.588166058341,2.05
agerardii_gt25C_r1_mt32_data,Andropogon,gerardii,gt25,r1,mt32,31.985,1.06978154697616,161.588166058341,2.05
agerardii_gt25C_r1_mt41_data,Andropogon,gerardii,gt25,r1,mt41,40.946,1.72188357185307,161.588166058341,2.05
agerardii_gt25C_r1_mt50_data,Andropogon,gerardii,gt25,r1,mt50,45.928,2.22034010739823,161.588166058341,2.05
agerardii_gt25C_r2_mt14_data,Andropogon,gerardii,gt25,r2,mt14,14,0.64394850065655,241.829488445992,2.53
agerardii_gt25C_r2_mt23_data,Andropogon,gerardii,gt25,r2,mt23,22.997,0.71197189684834,241.829488445992,2.53
agerardii_gt25C_r2_mt25_data,Andropogon,gerardii,gt25,r2,mt25,25.50125,0.776100728135933,241.829488445992,2.53
agerardii_gt25C_r2_mt32_data,Andropogon,gerardii,gt25,r2,mt32,32.096,1.09975771322565,241.829488445992,2.53
agerardii_gt25C_r2_mt41_data,Andropogon,gerardii,gt25,r2,mt41,41.003,2.32871327887482,241.829488445992,2.53
agerardii_gt25C_r2_mt50_data,Andropogon,gerardii,gt25,r2,mt50,45.158,3.68816727178209,241.829488445992,2.53
agerardii_gt25C_r3_mt14_data,Andropogon,gerardii,gt25,r3,mt14,13.942,0.427530154106412,178.741903662046,2.28
agerardii_gt25C_r3_mt23_data,Andropogon,gerardii,gt25,r3,mt23,22.984,0.728442757303875,178.741903662046,2.28
agerardii_gt25C_r3_mt25_data,Andropogon,gerardii,gt25,r3,mt25,24.9744444444444,0.813318679449731,178.741903662046,2.28
agerardii_gt25C_r3_mt32_data,Andropogon,gerardii,gt25,r3,mt32,31.995,1.17548038270095,178.741903662046,2.28
agerardii_gt25C_r3_mt41_data,Andropogon,gerardii,gt25,r3,mt41,40.956,1.79595441999501,178.741903662046,2.28
agerardii_gt25C_r3_mt50_data,Andropogon,gerardii,gt25,r3,mt50,46.049,2.23294880487241,178.741903662046,2.28
agerardii_gt30C_r1_mt14_data,Andropogon,gerardii,gt30,r1,mt14,14.049770832,0.295687857813899,182.39950562438,1.81
agerardii_gt30C_r1_mt23_data,Andropogon,gerardii,gt30,r1,mt23,22.999383163,0.54232058250965,182.39950562438,1.81
agerardii_gt30C_r1_mt30_data,Andropogon,gerardii,gt30,r1,mt30,30.022603798,0.848445168217084,182.39950562438,1.81
agerardii_gt30C_r1_mt32_data,Andropogon,gerardii,gt30,r1,mt32,31.894966697,0.951934960581367,182.39950562438,1.81
agerardii_gt30C_r1_mt41_data,Andropogon,gerardii,gt30,r1,mt41,40.973921966,1.62190225801979,182.39950562438,1.81
agerardii_gt30C_r1_mt50_data,Andropogon,gerardii,gt30,r1,mt50,44.732248688,1.99760340577657,182.39950562438,1.81
agerardii_gt30C_r2_mt14_data,Andropogon,gerardii,gt30,r2,mt14,13.90951519,0.296691933658548,175.404992587385,1.98
agerardii_gt30C_r2_mt23_data,Andropogon,gerardii,gt30,r2,mt23,22.913739204,0.287225093427689,175.404992587385,1.98
agerardii_gt30C_r2_mt30_data,Andropogon,gerardii,gt30,r2,mt30,29.968127062,0.413140686007015,175.404992587385,1.98
agerardii_gt30C_r2_mt32_data,Andropogon,gerardii,gt30,r2,mt32,32.021516992,0.489708133141714,175.404992587385,1.98
agerardii_gt30C_r2_mt41_data,Andropogon,gerardii,gt30,r2,mt41,40.90717163,1.42689474200743,175.404992587385,1.98
agerardii_gt30C_r2_mt50_data,Andropogon,gerardii,gt30,r2,mt50,44.611200714,2.61536695277091,175.404992587385,1.98
agerardii_gt30C_r3_mt14_data,Andropogon,gerardii,gt30,r3,mt14,14.037217044,0.429405760487299,169.732372783889,2.13
agerardii_gt30C_r3_mt23_data,Andropogon,gerardii,gt30,r3,mt23,22.972970772,0.716447461117493,169.732372783889,2.13
agerardii_gt30C_r3_mt30_data,Andropogon,gerardii,gt30,r3,mt30,30.052761269,1.09447590596396,169.732372783889,2.13
agerardii_gt30C_r3_mt32_data,Andropogon,gerardii,gt30,r3,mt32,31.969708253,1.2309239506974,169.732372783889,2.13
agerardii_gt30C_r3_mt41_data,Andropogon,gerardii,gt30,r3,mt41,40.951767731,2.16829509006583,169.732372783889,2.13
agerardii_gt30C_r3_mt50_data,Andropogon,gerardii,gt30,r3,mt50,43.597844695,2.5745079522015,169.732372783889,2.13
agerardii_gt35C_r1_mt14_data,Andropogon,gerardii,gt35,r1,mt14,14.12,0.760529948445403,182.411217268359,1.86
agerardii_gt35C_r1_mt23_data,Andropogon,gerardii,gt35,r1,mt23,23.039,1.37505998543001,182.411217268359,1.86
agerardii_gt35C_r1_mt35_data,Andropogon,gerardii,gt35,r1,mt35,34.993,2.1519071345456,182.411217268359,1.86
agerardii_gt35C_r1_mt32_data,Andropogon,gerardii,gt35,r1,mt32,32.039,1.9987850198543,182.411217268359,1.86
agerardii_gt35C_r1_mt41_data,Andropogon,gerardii,gt35,r1,mt41,41.008,2.32069832768751,182.411217268359,1.86
agerardii_gt35C_r1_mt50_data,Andropogon,gerardii,gt35,r1,mt50,45.329,2.30296916266763,182.411217268359,1.86
agerardii_gt35C_r2_mt14_data,Andropogon,gerardii,gt35,r2,mt14,13.935,0.24473119847964,197.427129646447,1.94
agerardii_gt35C_r2_mt23_data,Andropogon,gerardii,gt35,r2,mt23,22.975,0.519906640740366,197.427129646447,1.94
agerardii_gt35C_r2_mt35_data,Andropogon,gerardii,gt35,r2,mt35,34.938,1.29731491408477,197.427129646447,1.94
agerardii_gt35C_r2_mt32_data,Andropogon,gerardii,gt35,r2,mt32,32.039,1.04849917516742,197.427129646447,1.94
agerardii_gt35C_r2_mt41_data,Andropogon,gerardii,gt35,r2,mt41,40.923,1.97862277486515,197.427129646447,1.94
