Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 15c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2013,255,NA,NA,NA,NA,NA,Elymuscanadensis,NA,NA,NA,122.2605835,1.65,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,3.365239041,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
56,13:46:35,16618.5,-0.829,-0.829,0.179,364,10.4,5.8,6,0.5,2.25,48.73,44.76,49.68,400.27,393.75,17.315,37.316,14.78,31.86,299.9,1200,318,99.51,28.8,-0.886,0.7,111114,-9999,-9999
57,13:50:06,16829.5,-1.5,-1.5,0.183,282,10.5,5.77,6,0.5,2.25,48.74,44.76,49.68,299.93,296.68,17.365,37.64,14.82,32.12,299.9,1200,337,99.51,26.4,-0.831,0.7,111114,-9999,-9999
58,13:53:36,17039.5,-2.25,-2.25,0.186,201,10.6,5.75,6,0.5,2.25,48.74,44.76,49.68,199.85,200.1,17.408,37.861,14.85,32.31,300,1200,357,99.51,24.7,-0.752,0.7,111114,-9999,-9999
59,13:57:01,17244.5,-2.51,-2.51,0.19,115,10.8,5.71,6,0.5,2.25,48.75,44.75,49.68,100.11,102.92,17.465,38.182,14.9,32.57,300,1200,318,99.51,21.6,-0.665,0.3,111114,-9999,-9999
60,14:00:10,17433.5,-2.5,-2.5,0.195,85.5,10.9,5.66,6,0.5,2.25,48.75,44.69,49.69,67.5,70.95,17.477,38.473,14.91,32.82,299.9,1200,317,99.5,20.8,-0.623,0.7,111114,-9999,-9999
61,14:03:41,17644.5,-1.75,-1.75,0.193,374,10.9,5.69,6,0.5,2.25,48.75,44.74,49.68,401.26,396.11,17.356,38.356,14.8,32.71,299.9,1200,318,99.5,28.9,-0.92,0.3,111114,-9999,-9999
62,14:07:11,17854.5,-1.84,-1.84,0.192,374,10.8,5.68,6,0.5,2.25,48.75,44.69,49.69,400.06,395.17,17.336,38.198,14.79,32.58,299.9,1200,340,99.49,29.1,-0.92,0.7,111114,-9999,-9999
63,14:10:42,18065.5,-1.43,-1.43,0.19,546,10.8,5.73,6,0.5,2.25,48.76,44.75,49.69,598.86,589,17.27,38.018,14.72,32.41,300.3,1201,350,99.49,33.2,-1.06,0.7,111114,-9999,-9999
64,14:14:13,18276.5,-0.709,-0.709,0.187,717,10.7,5.77,6,0.5,2.25,48.76,44.79,49.69,800.18,784.76,17.211,37.847,14.67,32.26,299.9,1200,317,99.48,36.6,-1.16,0.7,111114,-9999,-9999
65,14:17:44,18487.5,-0.371,-0.371,0.185,892,10.6,5.77,6,0.5,2.25,48.76,44.73,49.67,1000.61,980.57,17.168,37.566,14.63,32.02,299.9,1201,319,99.47,40,-1.29,0.7,111114,-9999,-9999
66,14:21:15,18698.5,0.37,0.37,0.181,1.06E+03,10.5,5.82,6,0.5,2.25,48.76,44.8,49.69,1200.72,1175.25,17.099,37.352,14.57,31.84,299.9,1201,340,99.47,42.5,-1.35,0.7,111114,-9999,-9999
