Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 25c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2013,208,NA,NA,NA,NA,NA,Elymuscanadensis,NA,NA,NA,NA,NA,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.605,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
12,10:01:10,2844.5,7.77,7.77,0.0785,206,2.26,2.85,6,0.5,2.25,29.69,32.1,28.56,400.07,382.79,15.233,19.664,36.12,46.62,299.7,1200,488,99.21,20.5,-0.738,0.7,111114,-9999,-9999
13,10:03:17,2971.5,5.63,5.63,0.0816,163,2.28,2.77,6,0.5,2.25,29.48,31.85,28.5,299.29,286.73,15.295,19.768,36.69,47.42,299.8,1201,486,99.21,19.3,-0.702,0.7,111114,-9999,-9999
14,10:06:47,3181.5,3.55,3.55,0.0986,124,2.68,2.71,6,0.5,2.25,29.92,31.93,29.06,199.26,191.13,15.35,20.596,35.91,48.19,299.7,1200,487,99.2,17.5,-0.677,0.3,111114,-9999,-9999
15,10:10:17,3391.5,0.964,0.964,0.124,79.8,3.21,2.61,6,0.5,2.25,30.19,31.94,29.52,99.13,96.58,15.429,21.715,35.53,50,299.8,1200,487,99.2,15.7,-0.656,0.3,111114,-9999,-9999
16,10:13:48,3602.5,-0.589,-0.589,0.15,55.7,3.7,2.51,6,0.5,2.25,30.23,31.95,29.49,50.54,51.34,15.457,22.686,35.52,52.14,299.8,1200,487,99.2,14.7,-0.627,0.3,111114,-9999,-9999
17,10:16:01,3734.5,10.9,10.9,0.142,234,3.57,2.57,6,0.5,2.25,30.25,32.02,29.49,401.72,377.15,15.317,22.307,35.16,51.2,299.8,1200,485,99.19,21.2,-0.893,0.3,111114,-9999,-9999
18,10:17:01,3795.5,10.3,10.3,0.13,230,3.37,2.62,6,0.5,2.25,30.24,32.08,29.54,399.78,376.54,15.331,21.938,35.22,50.39,299.8,1200,484,99.19,21.3,-0.844,1,111114,-9999,-9999
19,10:19:12,3926.5,14.8,14.8,0.111,326,2.94,2.66,6,0.5,2.25,29.66,31.89,28.41,600.53,567.56,15.277,21.036,36.28,49.96,299.8,1200,484,99.19,23.8,-0.911,0.7,111114,-9999,-9999
20,10:21:11,4045.5,17.1,17.1,0.0897,419,2.49,2.76,6,0.5,2.25,29.77,31.94,28.88,799.95,761.86,15.246,20.122,35.97,47.48,299.8,1200,483,99.19,26.6,-0.959,0.7,111114,-9999,-9999
21,10:22:57,4151.5,19.2,19.2,0.0757,505,2.18,2.85,6,0.5,2.25,30.05,32.01,29.31,1000.29,957.65,15.207,19.476,35.3,45.21,299.9,1201,484,99.19,28,-1.01,0.7,111114,-9999,-9999
22,10:24:51,4264.5,20,20,0.0639,601,1.89,2.91,6,0.5,2.25,29.96,32.03,29.1,1200.41,1156.08,15.197,18.899,35.46,44.1,299.8,1200,486,99.19,29.9,-1.05,0.7,111114,-9999,-9999
