Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 30c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2015,22,NA,NA,NA,NA,NA,Glycinemax,NA,NA,NA,NA,NA,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.605,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
50,13:13:20,18240.5,1.735087088,1.735087088,0.021203601,236.1359543,1.142667419,5.197074109,6,0.5,2.25,40.00067139,41.16730499,39.45628738,399.942749,395.5743408,24.47349358,26.69487953,33.34479141,36.30354309,300.3973389,1199.536743,209.2064514,100.8279037,-7.323505402,-0.031697251,1,111114,-9999,-9999
51,13:15:03,18343.5,0.825574899,0.825574899,0.021276242,213.0760477,1.135382483,5.148112471,6,0.5,2.25,39.80997849,41.04005432,39.26112366,299.9664001,297.6426697,24.44692612,26.65403557,33.65050125,36.62031937,300.4255066,1199.375122,210.3922119,100.8297577,-6.457813263,-0.029850937,1,111114,-9999,-9999
52,13:16:48,18449,0.088722412,0.088722412,0.02284875,177.1401669,1.207882482,5.10405629,6,0.5,2.25,39.78322601,40.95569229,39.26202774,200.1314087,199.4730377,24.39663887,26.7443943,33.61803436,36.79643631,300.4346313,1199.741943,212.1064911,100.8282166,-5.767871857,-0.04213617,1,111114,-9999,-9999
53,13:18:34,18554.5,-0.771419198,-0.771419198,0.025665341,138.8139904,1.342084768,5.055029594,6,0.5,2.25,39.78224945,40.90938187,39.26360703,99.08481598,100.3563538,24.43166351,27.03930283,33.69103622,37.20256805,300.4546814,1199.165771,219.4105988,100.833519,-5.179729462,-0.056672074,1,111114,-9999,-9999
54,13:22:24,18784.5,-1.410746538,-1.410746538,0.049475801,81.48336633,2.459588975,4.851716947,6,0.5,2.25,40.1890831,40.90547943,39.85157394,37.30020523,39.92140961,24.26601219,29.03524971,32.6788559,39.09310532,300.4472961,1199.137695,209.5261536,100.8487625,-5.066265106,-0.134112328,1,111114,-9999,-9999
55,13:25:39,18980,2.315579741,2.315579741,0.028175409,234.2362821,1.49442231,5.131459292,6,0.5,2.25,40.11872864,41.12378693,39.65468597,399.8884888,394.0881958,24.25474548,27.15804672,32.8506546,36.71412277,300.4517822,1199.299683,209.9221344,100.8553009,-7.39207077,-0.075159997,1,111114,-9999,-9999
56,13:26:39,19039.5,2.304712022,2.304712022,0.027200424,230.2161292,1.445746087,5.140377105,6,0.5,2.25,40.11959839,41.12691116,39.65636063,399.7461548,394.0061035,24.27285576,27.08181381,32.88960266,36.60859299,300.4514771,1198.794556,208.6877899,100.8580322,-7.487346649,-0.075736016,1,111114,-9999,-9999
57,13:28:57,19178,3.757282352,3.757282352,0.023916492,298.5610222,1.282912058,5.181902122,6,0.5,2.25,39.99202728,41.11474228,39.45782852,599.7347412,590.7178955,24.1247654,26.61858559,32.86109161,36.2328186,300.4457397,1200.157471,217.2763062,100.8625412,-9.199138641,-0.053994149,1,111114,-9999,-9999
58,13:31:53,19354,4.290359947,4.290359947,0.019591877,384.2801864,1.064069353,5.237891447,6,0.5,2.25,39.99782944,41.14245987,39.45926285,798.8563843,788.6126709,24.10736656,26.17671013,32.84929276,35.62061691,300.4476013,1199.580322,214.3712463,100.8680267,-11.02311325,-0.035195321,1,111114,-9999,-9999
