Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 35c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2015,69,NA,NA,NA,NA,NA,Glycinemax,NA,NA,NA,346.6361904,5.19,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.205064254,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
14,14:54:50,5320.500005,6.524436271,6.524436271,0.147754769,306.5721859,1.197186682,0.850349231,6,0.5,2.25,11.18210888,14.30249023,10.01644421,399.9107056,385.9376221,5.50560236,7.881127834,41.15672302,58.91783142,299.9971619,1200.41748,333.8429871,99.69237518,-2.145420074,-0.129120946,1,111114,-9999,-9999
15,14:56:46,5437.000006,5.370239852,5.370239852,0.141281343,220.2693481,1.128746859,0.836345117,6,0.5,2.25,10.96232224,14.09820461,9.815113068,299.1705933,287.7785339,5.565507889,7.805757999,42.50331497,59.21245575,299.9494019,1201.072388,252.8156586,99.69395447,-0.732730865,-0.105158925,1,111114,-9999,-9999
16,14:58:35,5545.500006,3.838549756,3.838549756,0.146501751,144.9251203,1.138427197,0.815330116,6,0.5,2.25,10.76594448,13.86802864,9.629885674,199.5045929,191.3919067,5.517550945,7.776647568,42.47392273,59.76374435,300.0068359,1199.927612,253.0307312,99.69190979,0.465892792,-0.046956658,1,111114,-9999,-9999
17,15:00:37,5668.000006,1.800251667,1.800251667,0.149752064,73.63655435,1.150265504,0.807031827,6,0.5,2.25,10.93853092,13.81661892,10.04450703,98.88265228,95.06290436,5.523785591,7.806685448,41.98412323,59.31338882,299.9568481,1200.157837,293.2014771,99.69205475,0.985607147,-0.003499627,1,111114,-9999,-9999
18,15:04:27,5898.000005,1.042609337,1.042609337,0.151231193,56.38759639,1.16468227,0.80966922,6,0.5,2.25,10.97094154,13.83989716,10.08470535,71.11517334,68.8691864,5.492515564,7.804058552,41.64675522,59.16591263,299.9536743,1200.342163,252.3613892,99.69507599,1.178020477,-0.002375245,1,111114,-9999,-9999
19,15:07:05,6055.500006,5.711836149,5.711836149,0.145595112,316.358345,1.139706809,0.821024691,6,0.5,2.25,11.34228134,13.89283466,10.6306839,399.5647888,387.2561646,5.483043194,7.745213032,40.91362,57.29085159,299.9455261,1200.599854,285.0944214,99.69234467,-2.20582962,-0.165953755,1,111114,-9999,-9999
20,15:08:05,6116.000006,5.630179747,5.630179747,0.149435439,319.1317792,1.168638462,0.821573779,6,0.5,2.25,11.3561182,13.90931702,10.63318825,399.6785278,387.5144653,5.43768692,7.756448746,40.47155762,57.32202148,300.0499573,1200.687378,291.3049622,99.69705963,-2.238636017,-0.160107732,1,111114,-9999,-9999
21,15:09:30,6200.500006,6.220489522,6.220489522,0.154757493,511.1443891,1.221013798,0.830643843,6,0.5,2.25,11.39460945,13.9927597,10.63111877,600.4550171,586.5808716,5.329435349,7.75265646,39.28842163,57.14700317,299.984436,1199.863037,277.7303772,99.69296265,-5.977893829,-0.230835557,1,111114,-9999,-9999
22,15:11:51,6342.000006,6.278198171,6.278198171,0.153841995,706.1951142,1.221248906,0.835414404,6,0.5,2.25,11.42703152,14.04783154,10.63278103,799.8153076,785.3396606,5.338526726,7.762242794,39.56503677,57.09577942,299.9780273,1199.190186,251.5164032,99.69451904,-9.685352325,-0.301361203,1,111114,-9999,-9999
23,15:13:13,6424.000006,6.8879613,6.8879613,0.16065964,899.0536869,1.274716575,0.837308525,6,0.5,2.25,11.44406128,14.07983208,10.63000774,1000.819641,984.5313721,5.247038841,7.777009964,38.700737,57.13670349,299.9567261,1199.040039,251.3998871,99.69147491,-13.89696121,-0.348751187,1,111114,-9999,-9999
24,15:15:17,6547.500006,7.109312582,7.109312582,0.164082916,1094.436388,1.288889031,0.830162076,6,0.5,2.25,11.42418957,14.0159235,10.62916946,1200.567627,1183.296509,5.223709106,7.781755924,38.65868378,57.24692917,299.9614868,1199.974121,257.3780212,99.69195557,-18.42674637,-0.382206082,1,111114,-9999,-9999
25,15:17:39,6689.500006,7.671497613,7.671497613,0.165018812,1383.715827,1.29648286,0.830679226,6,0.5,2.25,11.42052269,13.98474407,10.63117695,1501.099121,1481.911011,5.170689106,7.743919849,38.28084564,56.98422241,299.9598083,1199.731689,253.0539551,99.69320679,-26.84581375,-0.461417794,1,111114,-9999,-9999
26,15:19:58,6829.000006,7.860445588,7.860445588,0.166434484,1872.753506,1.308935689,0.832051922,6,0.5,2.25,11.4023819,13.92503738,10.63182545,1999.776611,1978.873169,5.070083618,7.668143749,37.35643387,56.49738312,299.969635,1200.155273,278.2505798,99.69106293,-40.55394363,-0.540448785,1,111114,-9999,-9999
