Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 15c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2013,240,NA,NA,NA,NA,NA,Oryzasativa,NA,NA,NA,NA,NA,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.605,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
45,13:47:29,13321.5,3.1,3.1,0.0453,251,2.6,5.5,6,0.5,2.25,38.8,41.05,38.06,400.19,391.96,18.533,23.597,26.46,33.69,300.3,1200,0,99.25,12.4,0.991,1,111114,-9999,-9999
46,13:49:30,13442,1.96,1.96,0.0483,204,2.74,5.45,6,0.5,2.25,38.71,41,38.07,299.12,293.6,18.515,23.85,26.57,34.24,300.3,1200,0,99.25,11.6,0.985,1,111114,-9999,-9999
47,13:51:51,13583.5,0.827,0.827,0.0522,154,2.95,5.44,6,0.5,2.25,38.73,41.06,38.07,198.79,195.99,18.491,24.234,26.5,34.73,300.3,1200,0,99.24,11.1,0.968,1,111114,-9999,-9999
48,13:54:24,13736.5,-0.609,-0.609,0.0556,108,3.14,5.44,6,0.5,2.25,38.39,41.15,37.48,99.2,99.79,18.479,24.598,26.97,35.9,300.4,1199,0,99.24,10.4,0.966,0.7,111114,-9999,-9999
49,13:57:15,13907,-1.36,-1.36,0.0546,86.1,3.08,5.44,6,0.5,2.25,38.25,41.11,37.3,49.4,51.79,18.455,24.457,27.14,35.98,300.4,1199,0,99.25,9.97,0.978,0.7,111114,-9999,-9999
50,14:00:11,14083,2.65,2.65,0.0419,260,2.43,5.55,6,0.5,2.25,37.71,41.07,36.52,400.58,393.39,18.424,23.157,27.9,35.07,300.4,1200,0,99.25,12.6,1.03,0.7,111114,-9999,-9999
51,14:01:31,14163.5,2.62,2.62,0.041,259,2.36,5.52,6,0.5,2.25,37.64,40.96,36.52,399.8,392.72,18.411,23.019,27.99,35,300.4,1200,0,99.25,12.3,1.04,1,111114,-9999,-9999
52,14:04:24,14336.5,5.02,5.02,0.0408,345,2.33,5.48,6,0.5,2.25,37.76,40.85,36.93,600.76,587.99,18.388,22.935,27.78,34.65,300.4,1201,0,99.25,12.9,1.04,0.7,111114,-9999,-9999
53,14:07:36,14528,7.2,7.2,0.04,434,2.32,5.55,6,0.5,2.25,38.16,41,37.3,800.55,782.56,18.36,22.883,27.13,33.82,300.4,1201,0,99.25,13.9,1.04,0.7,111114,-9999,-9999
54,14:10:36,14708.5,8.83,8.83,0.0399,547,2.32,5.57,6,0.5,2.25,38.19,41.05,37.3,1000.76,978.6,18.322,22.851,27.03,33.72,300.4,1201,0,99.24,19.1,1.01,0.7,111114,-9999,-9999
55,14:13:23,14875.5,11.8,11.8,0.0403,610,2.34,5.57,6,0.5,2.25,38.2,41.04,37.3,1200.45,1171.33,18.311,22.881,27,33.75,300.4,1201,0,99.24,18.8,1.01,0.7,111114,-9999,-9999
