Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 30c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2015,28,NA,NA,NA,NA,NA,Pinusnigra,NA,NA,NA,99.50777484,1.9,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,1.855236054,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
66,16:55:21,15811,-0.081299483,-0.081299483,0.034027492,360.6898989,2.242788519,6.361318158,7.682,0.5,1.624734751,47.44581985,43.82941818,48.67821884,399.566864,397.4936523,21.40435791,26.98855209,19.68302727,24.81752014,300.2064819,1198.875488,362.171814,100.4247665,4.249183655,-0.021074474,0.666666687,111114,-9999,-9999
67,16:57:50,15959.5,-0.475987881,-0.475987881,0.03490097,290.1111841,2.342605418,6.475105049,7.682,0.5,1.624734751,48.41840363,44.12513351,49.72546387,300.7496643,300.1679688,21.42200661,27.25658226,18.75429344,23.85630608,300.0284729,1199.156982,325.7906799,100.4142609,5.40045929,0.02805692,1,111114,-9999,-9999
68,16:59:35,16065,-0.767274766,-0.767274766,0.03513198,213.2248477,2.38228349,6.539384136,7.682,0.5,1.624734751,48.40696716,44.28591919,49.52240753,199.7514038,200.4929657,21.45192528,27.38415718,18.78785133,23.98040009,300.0481567,1198.928467,357.9470825,100.415863,5.716804504,0.00256139,1,111114,-9999,-9999
69,17:01:24,16173.5,-1.035882164,-1.035882164,0.036007784,135.433754,2.442520096,6.543022729,7.682,0.5,1.624734751,48.55976868,44.33256912,49.72373581,99.62384033,101.6403427,21.49341965,27.5744133,18.67813683,23.96076202,300.0504456,1200.084839,339.2009277,100.4064407,5.688896179,0.076412022,1,111114,-9999,-9999
70,17:05:14,16403.5,-1.105779536,-1.105779536,0.037129904,100.1525627,2.509513673,6.522837929,7.682,0.5,1.624734751,48.30693436,44.3259964,49.33411026,57.98022842,60.4221077,21.5012989,27.74550629,18.92183113,24.41714096,300.1694641,1200.237671,318.0386658,100.4005051,5.545200348,0.101180851,0.666666687,111114,-9999,-9999
71,17:07:43,16553,-0.245959779,-0.245959779,0.037115844,367.2030319,2.50781647,6.520918527,7.682,0.5,1.624734751,48.3056221,44.30001068,49.33177948,400.5255127,398.5968323,21.40232086,27.64273453,18.89146996,24.32543564,300.180542,1199.799927,307.8563232,100.3900681,5.062839508,-0.15897578,1,111114,-9999,-9999
72,17:08:47,16616.5,-0.223310316,-0.223310316,0.037584714,365.3328391,2.540918451,6.526034747,7.682,0.5,1.624734751,48.30534744,44.31477356,49.33460236,399.7406006,397.724823,21.33696747,27.66287994,18.7771759,24.34345055,300.0258789,1199.942017,359.227478,100.3891983,4.953678131,-0.154668987,1,111114,-9999,-9999
73,17:10:46,16736,0.208078518,0.208078518,0.037328792,525.3294317,2.51874969,6.513464959,7.682,0.5,1.624734751,47.90279007,44.26189423,48.74625397,600.5286865,596.1518555,21.26498413,27.53566742,19.0962925,24.72731018,300.066925,1199.952271,307.3773193,100.3847885,3.839603424,-0.259634197,1,111114,-9999,-9999
74,17:13:05,16875,0.386895485,0.386895485,0.037090719,695.6404548,2.501507011,6.509463118,7.682,0.5,1.624734751,48.12469482,44.23181915,49.14004135,800.7151489,794.6349487,21.20573807,27.43494987,18.84466934,24.36091805,300.0278625,1200.299438,363.9632263,100.3723145,2.396793365,-0.366932094,1,111114,-9999,-9999
75,17:14:43,16972.5,0.651589866,0.651589866,0.036657766,861.1492066,2.485914427,6.542280104,7.682,0.5,1.624734751,48.28190613,44.27979279,49.33512115,1000.639038,992.6526489,21.15028954,27.34111404,18.63354111,24.08285141,300.0354309,1200.25647,368.4020386,100.3601608,0.409610748,-0.454796016,1,111114,-9999,-9999
76,17:16:38,17088,0.889750393,0.889750393,0.035889142,1026.275275,2.449214023,6.579729581,7.682,0.5,1.624734751,48.30404282,44.3361702,49.33446121,1199.718262,1189.977173,21.1395874,27.24014854,18.65404892,23.96522713,300.0108032,1200.165771,307.2964783,100.3547897,-2.064876556,-0.526905239,1,111114,-9999,-9999
77,17:18:22,17192,1.109763024,1.109763024,0.035959263,1282.123415,2.455108868,6.583784597,7.682,0.5,1.624734751,48.31010437,44.32241058,49.33283615,1498.703369,1486.526733,21.02194977,27.13283539,18.4895916,23.86425972,300.2579041,1200.350098,308.1661377,100.3576202,-6.005550385,-0.619684398,1,111114,-9999,-9999
