Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 15c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2015,16,NA,NA,NA,NA,NA,Pinuspinaster,NA,NA,NA,91.62790348,1.82,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.814854539,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
27,13:36:59,6046.000002,3.428084194,3.428084194,0.04893763,213.4786835,0.387175509,1.21050793,11.82,0.5,0.086478152,23.07426643,22.89139557,22.93100166,399.6073914,385.4950562,14.41919994,15.92225933,50.96270752,56.16144943,299.6253967,1198.769897,43.81292343,99.90616608,-1.304027557,0.249077022,1,111114,-9999,-9999
28,13:38:57,6164.000001,2.492144658,2.492144658,0.047224542,161.3703916,0.374533747,1.198176178,11.82,0.5,0.086478152,23.42357063,22.87132263,23.75914574,299.7449341,289.4850159,14.5563364,16.01031303,50.2852478,55.30144882,299.599823,1198.598633,40.70989227,99.91430664,-0.055706024,0.252002895,0.666666687,111114,-9999,-9999
29,13:40:41,6268.000002,1.036758007,1.036758007,0.043281356,137.2128946,0.355519407,1.204288363,11.82,0.5,0.086478152,23.52915192,22.9336586,23.72612,199.4468536,195.0830383,14.67481899,16.05488777,50.36258316,55.10404587,299.6062927,1198.645508,41.1665535,99.91542816,1.167072296,0.248109996,1,111114,-9999,-9999
30,13:42:19,6366.000001,0.00370367,0.00370367,0.047181093,98.40205485,0.374378283,1.198205426,11.82,0.5,0.086478152,23.55078316,22.970541,23.72602844,100.6011734,100.4382095,14.72537994,16.17852783,50.47122574,55.44761658,299.5950317,1198.609253,41.85135269,99.91592407,1.477710724,0.283420742,1,111114,-9999,-9999
31,13:44:56,6523.500002,-0.384676927,-0.384676927,0.050272405,67.68907185,0.380438977,1.169271245,11.82,0.5,0.086478152,23.08667755,22.83303261,22.94844818,48.98099136,50.42298508,14.75780106,16.23439026,52.10284042,57.21971893,299.5949097,1200.07312,40.48864365,99.91631317,0.468017578,0.286787212,1,111114,-9999,-9999
32,13:47:17,6664.000002,3.279674184,3.279674184,0.057607723,237.4347383,0.418068539,1.181318959,11.82,0.5,0.086478152,23.54105759,22.95427895,23.72747993,399.742981,386.1672363,14.69684792,16.31927681,50.52275848,55.96931839,299.6080322,1200.436279,49.19742584,99.91920471,-1.442687988,0.307357967,1,111114,-9999,-9999
33,13:48:23,6730.000002,3.327147052,3.327147052,0.069906852,251.6791767,0.469194967,1.185687387,11.82,0.5,0.086478152,23.69122124,23.0217247,23.92476273,400.1774597,386.3356934,14.56976223,16.39053917,49.54324722,55.70800781,299.5965271,1200.098267,42.3121109,99.92008972,-1.419952393,0.327463329,1,111114,-9999,-9999
34,13:50:43,6870.000002,4.755537655,4.755537655,0.068565442,384.5713189,0.472922662,1.20790947,11.82,0.5,0.086478152,23.75422859,23.12903404,23.92191315,599.659668,579.8155518,14.51732063,16.35265541,49.28488541,55.37131119,299.5930481,1200.022217,40.27566147,99.91706848,-2.613311768,0.264869869,1,111114,-9999,-9999
35,13:53:09,7016.000001,6.812061463,6.812061463,0.084054951,522.8161656,0.525883597,1.205086222,11.82,0.5,0.086478152,23.64245796,23.11543083,23.72551346,800.758606,772.279541,14.31723022,16.35814095,48.80290222,55.76215744,299.585022,1200.211792,49.2023201,99.91330719,-7.907989502,0.300617397,0.666666687,111114,-9999,-9999
36,13:55:39,7166.500001,7.819147104,7.819147104,0.093583883,695.5076967,0.536707249,1.166700607,11.82,0.5,0.086478152,23.09436607,22.8529892,22.94467545,1000.663696,967.765686,14.21129894,16.29426193,50.07017136,57.40769958,299.5977783,1199.864502,41.1276474,99.91423798,-10.96908569,0.332681835,1,111114,-9999,-9999
37,13:58:04,7311.000002,8.960459819,8.960459819,0.105889035,867.8956284,0.568844766,1.1674901,11.82,0.5,0.086478152,23.41828728,22.87558174,23.53261375,1201.083252,1163.122681,14.11736202,16.32490158,48.77755356,56.40733719,299.6087036,1199.877808,40.60474014,99.91284943,-16.63082886,0.324245632,1,111114,-9999,-9999
38,14:01:11,7498.000001,8.732067905,8.732067905,0.117888018,1182.097227,0.595438783,1.166106008,11.82,0.5,0.086478152,23.42416954,22.87449837,23.53125191,1499.985107,1462.101196,14.02677441,16.33749008,48.44453812,56.42834091,299.608551,1199.789551,40.72002411,99.9093399,-19.23532104,0.337154567,1,111114,-9999,-9999
39,14:04:57,7724.000001,10.58381781,10.58381781,0.121392592,1615.419632,0.608961643,1.177972172,11.82,0.5,0.086478152,23.4694252,22.93383408,23.52825165,2000.582642,1954.132202,13.95624924,16.31953812,48.06771088,56.20836639,299.6019592,1199.848267,45.85978317,99.90950775,-34.21334839,0.325102031,1,111114,-9999,-9999
