Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 25c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,335,NA,NA,NA,NA,NA,Pinuspinea,NA,NA,NA,68.03520849,1.95,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,4.358032259,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
66,13:29:58,17567,0.074332191,0.074332191,-0.149838686,350.253098,2.757247064,8.005202993,11.981,0.5,0.026628149,47.00161362,47.97086334,48.23973846,399.8262329,395.1832581,21.07447815,31.72416306,20.13314056,30.07358742,300.3523865,1200.363892,302.7107239,101.2327194,0.197761536,-0.291692913,1,111114,-9999,-9999
67,13:31:45,17673.5,-0.858362546,-0.858362546,-0.137051552,300.6042419,2.80196186,7.9698412,11.981,0.5,0.026628149,47.10224533,47.97010422,48.2390976,299.8551636,299.9268799,21.24965668,32.06804657,20.2454319,30.24536705,300.3568115,1199.088745,319.5888672,101.2364426,0.73764801,-0.30394572,1,111114,-9999,-9999
68,13:33:34,17782.5,-1.726572545,-1.726572545,-0.112429265,243.1791048,2.944583529,7.931139369,11.981,0.5,0.026628149,47.16559219,47.96950912,48.23801041,198.8913574,203.3894348,21.08444405,32.44869232,19.98452568,30.50451279,300.3656311,1200.472778,266.9562683,101.2311859,0.88697052,-0.294027507,1,111114,-9999,-9999
69,13:35:17,17885.5,-2.475947997,-2.475947997,-0.111706357,185.856767,2.944573855,7.913966177,11.981,0.5,0.026628149,47.15596008,47.96783066,48.23846436,101.5292816,110.1123352,21.24846077,32.6111412,20.19540405,30.66998863,300.3556519,1199.688843,267.4477844,101.2243576,0.788726807,-0.295019329,1,111114,-9999,-9999
70,13:39:08,18117,-2.987323953,-2.987323953,-0.084915562,136.8796992,3.246249415,7.859314995,11.981,0.5,0.026628149,47.18693161,47.99537659,48.23990631,38.04915619,49.32687378,20.78852654,33.30655289,19.51981926,31.27265739,300.3501587,1200.744141,320.1420898,101.2205811,0.635848999,-0.310781658,1,111114,-9999,-9999
71,13:41:21,18249.5,-0.229739079,-0.229739079,-0.082679516,362.8317921,3.272371939,7.823338042,11.981,0.5,0.026628149,47.21544647,47.9887886,48.236866,399.51474,395.2713928,21.01079369,33.62566376,19.87951279,31.52731705,300.3435669,1198.987183,265.1313171,101.2187958,0.308578491,-0.31491679,1,111114,-9999,-9999
72,13:42:22,18311,-0.279141605,-0.279141605,-0.08037111,364.4135446,3.317079903,7.821045106,11.981,0.5,0.026628149,47.20783615,47.98816681,48.23630142,399.4729004,395.3547974,20.86081696,33.64844513,19.6952095,31.55849457,300.3268433,1200.392212,292.4497986,101.2079315,0.409378052,-0.319563091,1,111114,-9999,-9999
73,13:44:42,18450.5,0.978864479,0.978864479,-0.080824525,501.2391376,3.307321204,7.818820808,11.981,0.5,0.026628149,47.21863937,47.99824142,48.23544312,600.9876099,589.3068848,20.97874641,33.72816849,19.8446579,31.61410522,300.3158569,1199.13916,271.3921204,101.204071,-0.461410522,-0.303793132,1,111114,-9999,-9999
74,13:47:07,18596,1.991224547,1.991224547,-0.079875349,643.8607361,3.330046096,7.826356333,11.981,0.5,0.026628149,47.2122612,47.999897,48.23565674,799.2763062,780.9560547,20.82608795,33.66482544,19.65693855,31.56377029,300.2954712,1199.337891,264.096283,101.198555,-1.401473999,-0.287244976,1,111114,-9999,-9999
