Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 35c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2013,347,NA,NA,NA,NA,NA,Poapratensis,NA,NA,NA,100.0715612,1.7,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,2.832184706,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
66,15:56:47,17757.50005,-0.503952757,-0.503952757,0.004949781,496.5454332,0.462478452,8.72600573,5.594,0.5,2.400926095,48.85678101,47.38723755,49.78335953,399.9337769,400.5291138,20.8560791,21.7012043,17.73403168,18.45240211,299.4776611,1200.351807,0.154014066,99.72712708,1.047519684,1.012425184,0.666666687,111114,-9999,-9999
67,16:00:35,17985.50005,-0.285598591,-0.285598591,0.005413236,337.4454908,0.503355709,8.687411261,5.594,0.5,2.400926095,48.83977127,47.31685257,49.78500366,300.1574402,300.4084778,20.77965164,21.69953156,17.68375778,18.46637535,299.4598389,1200.554321,0.175193787,99.72450256,1.36322403,1.001723051,1,111114,-9999,-9999
68,16:04:23,18213.50005,-0.354228764,-0.354228764,0.005874781,262.3415324,0.54404995,8.655035814,5.594,0.5,2.400926095,48.83129501,47.26020813,49.78572083,199.5306091,199.9890594,20.71774101,21.71195412,17.63838196,18.48452759,299.4666748,1200.668701,0.187758952,99.72373199,1.968021393,0.99395442,1,111114,-9999,-9999
69,16:08:11,18441.50005,-0.243411909,-0.243411909,0.006326138,144.7070991,0.585380324,8.649244488,5.594,0.5,2.400926095,48.84846878,47.25125122,49.78407288,100.9095383,101.2535019,20.65258217,21.72228813,17.56650162,18.47607803,299.4734497,1200.609131,0.141335666,99.71644592,1.960590363,0.992367506,1,111114,-9999,-9999
70,16:11:59,18669.50005,-0.166353578,-0.166353578,0.006737284,79.8387462,0.621729823,8.628376265,5.594,0.5,2.400926095,48.83930969,47.21340179,49.78308487,49.58068466,49.83357239,20.58656502,21.72279739,17.51871872,18.48548889,299.4462891,1200.708618,0.152959794,99.71884918,1.899074554,0.980755568,1,111114,-9999,-9999
71,16:15:47,18897.50005,-0.218825018,-0.218825018,0.006952436,392.6333432,0.640498383,8.615397357,5.594,0.5,2.400926095,48.82910538,47.18121719,49.78446198,400.8390503,400.7683105,20.50595284,21.67655563,17.45882225,18.45549011,299.4424744,1200.604126,0.174403489,99.71699524,0.108852386,1.001587629,1,111114,-9999,-9999
72,16:19:35,19125.50005,-0.33411172,-0.33411172,0.006896684,417.7121541,0.634389172,8.603428424,5.594,0.5,2.400926095,48.81465149,47.14295578,49.78440857,400.2073059,400.3569946,20.42710495,21.58661461,17.40441132,18.39228821,299.4513245,1200.876343,0.171281129,99.71749878,0.341823578,1.009815931,1,111114,-9999,-9999
73,16:23:23,19353.50005,-0.199012058,-0.199012058,0.006717241,562.0187357,0.617413111,8.597585424,5.594,0.5,2.400926095,48.80765152,47.11119843,49.78436279,600.484375,600.1639404,20.3426857,21.47126198,17.33850861,18.30058479,299.4614868,1201.068115,0.117523685,99.71763611,-1.625827789,1.016667128,1,111114,-9999,-9999
74,16:27:11,19581.50005,-0.12010417,-0.12010417,0.006477386,717.9476512,0.596678199,8.615728635,5.594,0.5,2.400926095,48.80863953,47.12281036,49.78447342,801.0276489,800.3599854,20.2626152,21.35331345,17.2692337,18.19872093,299.4911194,1201.062012,0.2045746,99.71561432,-4.460666656,1.026879072,1,111114,-9999,-9999
