Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 25c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,309,NA,NA,NA,NA,NA,Pinussylvestris,NA,NA,NA,41.2575295,1.81,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.505872667,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
1,8:16:23,185.0000078,3.831236345,3.831236345,0.029645863,172.6561993,0.664437264,2.222060483,5.479,0.5,2.443676097,24.62555695,25.32679176,24.44270897,399.2716064,391.8034668,8.991729736,10.19213486,28.93048859,32.79411697,300.1776428,1198.626221,239.0868225,100.0866623,1.082561493,-0.075011775,1,111114,-9999,-9999
2,8:18:28,310.5000082,2.924429776,2.924429776,0.029590679,127.2846335,0.65066192,2.18040408,5.479,0.5,2.443676097,23.61250305,25.14979553,23.03954506,300.2362671,294.548645,9.092980385,10.26840496,31.16602135,35.12306595,300.1783447,1199.887085,256.3790588,100.0916138,1.146953583,-0.066184565,1,111114,-9999,-9999
3,8:20:19,421.0000082,1.549216472,1.549216472,0.030151499,107.0295652,0.653028526,2.148426396,5.479,0.5,2.443676097,23.4939003,25.00806236,23.06746864,198.4639587,195.4033203,9.138381004,10.31803131,31.57019615,35.55067825,300.1759033,1199.940674,304.4955444,100.0946655,1.191570282,-0.057616755,1,111114,-9999,-9999
4,8:22:08,530.5000082,0.276169641,0.276169641,0.031708712,82.31938189,0.681857693,2.134511228,5.479,0.5,2.443676097,23.46276474,24.9555378,23.06871033,100.2014008,99.57341766,9.126050949,10.35768032,31.57120705,35.75484848,300.1879578,1199.704224,241.0740814,100.0945587,0.835788727,-0.053942248,1,111114,-9999,-9999
5,8:25:59,761.5000078,-0.595432071,-0.595432071,0.034115767,65.14134037,0.728118972,2.120689685,5.479,0.5,2.443676097,23.43501472,24.90368271,23.06708908,37.640625,38.67604828,9.082446098,10.39764118,31.40529442,35.95306396,300.1747742,1199.61145,263.6496887,100.0972061,0.762260437,-0.047571704,1,111114,-9999,-9999
6,8:28:18,900.0000082,4.493958214,4.493958214,0.033810825,166.6175852,0.719923911,2.115394729,5.479,0.5,2.443676097,23.43300247,24.88342094,23.06746101,400.1356812,391.4189758,9.112549782,10.41287327,31.60594749,36.01023102,300.1860657,1199.262817,235.7644653,100.092453,1.17855072,-0.049660251,1,111114,-9999,-9999
7,8:29:25,967.5000082,4.521368044,4.521368044,0.034811579,170.6103528,0.739208901,2.110460043,5.479,0.5,2.443676097,23.43033409,24.85907555,23.06804848,399.3847046,390.6050415,9.081459999,10.41664886,31.48374557,36.02774429,300.1775208,1199.467773,272.3631897,100.0898132,1.164634705,-0.05049853,1,111114,-9999,-9999
8,8:31:15,1077.000008,6.64643362,6.64643362,0.034764116,263.2669004,0.738561799,2.111389935,5.479,0.5,2.443676097,23.43375778,24.86525154,23.06752396,600.4512329,587.5278931,9.085188866,10.41919422,31.51107597,36.02873993,300.1800537,1199.141968,236.0321045,100.087677,0.916404724,-0.051687762,1,111114,-9999,-9999
9,8:34:14,1256.500008,7.448172644,7.448172644,0.036352533,431.1561579,0.777167125,2.125729845,5.479,0.5,2.443676097,23.7155323,24.94991112,23.45594597,798.9094849,784.2024536,9.03235054,10.43605614,30.78193665,35.47797012,300.1812439,1198.907227,233.5801697,100.0823288,0.334007263,-0.050488994,1,111114,-9999,-9999
