Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 15c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2015,20,NA,NA,NA,NA,NA,Pinussylvestris,NA,NA,NA,54.37681129,0.94,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,3.88766473,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
53,11:57:05,11054.00001,2.395587136,2.395587136,0.125658121,333.6231462,6.032170752,4.672447109,3.752,0.5,3.085669607,41.13514328,41.05161285,41.01736069,400.0728149,394.111908,24.69800758,31.99056435,31.16106606,40.22845459,300.4251099,1199.711182,242.3689728,99.02886963,-8.270374298,-0.196736068,1,111114,-9999,-9999
54,11:58:46,11155.50001,0.978853638,0.978853638,0.12364153,261.5331919,5.940986548,4.674255706,3.752,0.5,3.085669607,41.12360382,41.04065323,41.01913071,300.259613,296.8348999,24.74360466,31.92599678,31.27643967,40.17288589,300.4421387,1199.769897,245.9694061,99.02981567,-7.344165802,-0.210598677,1,111114,-9999,-9999
55,12:00:26,11255.00001,-0.348371882,-0.348371882,0.120458994,188.2530008,5.812576476,4.689872859,3.752,0.5,3.085669607,41.13477707,41.05747604,41.01797485,199.9254913,198.9165039,24.80741119,31.83611107,31.37880325,40.04045486,300.4037781,1199.648682,255.6636963,99.03852844,-6.641422272,-0.224499434,1,111114,-9999,-9999
56,12:02:17,11366.50001,-1.804232187,-1.804232187,0.121704015,116.5974245,5.894059555,4.708488357,3.752,0.5,3.085669607,41.14762497,41.08945465,41.01811218,99.27189636,100.7832947,24.65621948,31.78319931,31.12738991,39.94497681,300.4307861,1199.28418,288.9516602,99.03642273,-5.965824127,-0.213705748,1,111114,-9999,-9999
57,12:06:07,11596.00001,-2.429413961,-2.429413961,0.121616957,69.13156717,5.938833221,4.746799218,3.752,0.5,3.085669607,41.16065598,41.16925812,40.97747421,37.7861824,40.5195961,24.55134583,31.73260689,30.83224869,39.850914,300.4405518,1199.107666,241.8479919,99.03630066,-5.703884125,-0.184408873,1,111134,-9999,-9999
58,12:08:33,11742.00001,1.550284501,1.550284501,0.119486969,344.1509621,5.813895294,4.727437695,3.752,0.5,3.085669607,41.02023315,41.08905411,40.8226738,400.1445007,395.3380432,24.56149292,31.59273338,31.17523766,39.97111511,300.4388733,1199.305176,249.708313,99.02841187,-8.340389252,-0.179024428,1,111134,-9999,-9999
59,12:09:34,11803.50001,1.656022736,1.656022736,0.117818322,342.2430645,5.739051165,4.730090064,3.752,0.5,3.085669607,41.01729965,41.08769989,40.82356262,400.0422668,395.1419678,24.62044334,31.56160164,31.29046059,39.93623734,300.4297791,1199.028442,267.1583862,99.02418518,-8.426967621,-0.169674605,1,111134,-9999,-9999
60,12:12:09,11958.00001,3.719563,3.719563,0.114729489,492.9641799,5.61287359,4.746068436,3.752,0.5,3.085669607,41.02172852,41.10879898,40.82374191,599.0150146,590.2320557,24.69944382,31.48871994,31.41985321,39.83493805,300.4203186,1198.787109,242.0326233,99.02511597,-10.38698959,-0.168743819,1,111134,-9999,-9999
61,12:14:32,12101.50001,5.497112378,5.497112378,0.115822476,650.207096,5.686725653,4.764689865,3.752,0.5,3.085669607,41.03079605,41.13944626,40.82397079,799.2998657,786.8462524,24.55021858,31.42913818,31.17908287,39.74124146,300.4251404,1198.584839,250.4551544,99.02710724,-12.31820297,-0.163212508,1,111134,-9999,-9999
62,12:16:21,12210.00001,6.881403121,6.881403121,0.113119546,812.4286735,5.533663921,4.74455314,3.752,0.5,3.085669607,40.64649963,41.06418991,40.2335701,1000.786987,985.3825684,24.6195488,31.31424332,31.94798851,40.41366196,300.4192505,1199.856689,239.8869324,99.03205109,-14.37679672,-0.159231871,1,111134,-9999,-9999
63,12:18:40,12349.50001,8.162576784,8.162576784,0.114281249,976.389266,5.563271093,4.724119353,3.752,0.5,3.085669607,40.59532166,40.99359894,40.23801422,1199.375122,1180.975586,24.4936142,31.22460365,31.83349228,40.40846634,300.4258118,1199.652344,281.3213501,99.03185272,-16.62533188,-0.158383101,1,111134,-9999,-9999
64,12:20:52,12481.50001,9.721089268,9.721089268,0.113590984,1227.063294,5.533187123,4.726292019,3.752,0.5,3.085669607,40.58680725,40.98569489,40.23665237,1499.352173,1477.003784,24.47447586,31.16978836,31.82246971,40.35535812,300.4104309,1199.739136,240.7622528,99.03118134,-20.32235336,-0.160568923,1,111134,-9999,-9999
65,12:23:31,12640.00001,11.12208993,11.12208993,0.111095989,1660.964926,5.414636342,4.725677791,3.752,0.5,3.085669607,40.58090591,40.96947861,40.23854065,1999.332275,1972.105835,24.55526543,31.10725021,31.97437286,40.28811646,300.4242249,1199.751587,243.4146881,99.0340271,-26.45162582,-0.15439865,1,111134,-9999,-9999
