Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 30c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,128,NA,NA,NA,NA,NA,Quercusvirginiana,NA,NA,NA,106.1038916,2.5,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.988757007,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
1,11:29:51,227.5,9.64,9.64,0.116,229,2.58,2.23,6,0.5,2.25,29.19,30.41,28.47,400.06,378.8,16.432,21.486,40.04,52.35,299.6,1199,52,99.11,24.3,-0.101,1,111114,-9999,-9999
2,11:32:12,368.5,8.09,8.09,0.149,183,2.88,1.97,6,0.5,2.25,27.98,29.6,26.63,299.93,282.11,16.472,22.111,43.11,57.81,299.6,1199,52,99.11,22.7,-0.0993,1,111114,-9999,-9999
3,11:34:15,491.5,5.34,5.34,0.168,129,3.22,1.98,6,0.5,2.25,27.66,29.9,26.24,200.06,188.16,16.485,22.795,43.91,60.7,299.6,1199,52,99.1,20.8,-0.115,1,111114,-9999,-9999
4,11:36:04,600.5,1.57,1.57,0.187,78.8,3.41,1.89,6,0.5,2.25,27.83,29.82,26.64,99.77,95.97,16.781,23.457,44.62,61.87,299.6,1199,52,99.1,18.6,-0.122,1,111114,-9999,-9999
5,11:37:57,713.5,-0.315,-0.315,0.211,51.3,3.71,1.84,6,0.5,2.25,28.13,29.87,27.04,50.04,50.29,16.865,24.113,44.09,62.5,299.6,1199,52,99.11,17.3,-0.144,1,111114,-9999,-9999
6,11:40:09,845.5,13.8,13.8,0.246,263,4.12,1.78,6,0.5,2.25,28.42,29.89,27.44,401.21,370.58,16.703,24.741,42.63,63.04,299.6,1199,52,99.11,24.3,-0.162,1,111114,-9999,-9999
7,11:41:15,911.5,13.2,13.2,0.235,262,3.96,1.78,6,0.5,2.25,28.34,29.9,27.23,398.4,368.96,17.063,24.796,44.08,63.48,299.6,1199,52,99.12,24.1,-0.159,1,111114,-9999,-9999
8,11:43:20,1036.5,18.3,18.3,0.21,396,3.61,1.8,6,0.5,2.25,28.27,29.65,27.02,601.32,560.69,16.881,23.93,43.39,61.52,299.6,1199,52,99.11,26.9,-0.132,0.7,111114,-9999,-9999
9,11:45:51,1188,18,18,0.119,485,2.42,2.06,6,0.5,2.25,28.62,29.81,27.28,799.93,760.19,17.009,21.748,42.83,54.78,299.6,1199,52,99.11,29,-0.0755,0.3,111114,-9999,-9999
10,11:47:36,1293,20.2,20.2,0.087,544,1.93,2.21,6,0.5,2.25,27.57,30.11,25.95,1000.37,956.16,17.124,20.915,45.85,56.01,299.6,1199,52,99.12,30.6,-0.0492,1,111114,-9999,-9999
11,11:49:44,1421,20.7,20.7,0.0746,667,1.6,2.12,6,0.5,2.25,27.32,29.51,25.66,1200.89,1155.74,17.231,20.362,46.81,55.32,299.6,1199,52,99.12,32.3,-0.0314,0.7,111114,-9999,-9999
12,11:52:12,1569,21.9,21.9,0.0594,809,1.35,2.23,6,0.5,2.25,27.08,29.81,25.68,1500.7,1453,17.352,19.994,47.82,55.1,299.6,1199,52,99.12,33.3,-0.0286,1,111114,-9999,-9999
13,11:54:57,1734,22.8,22.8,0.0497,1.14E+03,1.15,2.27,6,0.5,2.25,27.49,29.88,26.03,2001.15,1951,17.475,19.736,46.99,53.08,299.6,1199,52,99.12,33.1,-0.0307,1,111114,-9999,-9999
