Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 20c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,94,NA,NA,NA,NA,NA,Schizachyriumscoparium,NA,NA,NA,193.729593,1.2,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.401301314,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
21,13:28:19,4972.5,5.16,5.16,0.0327,128,0.418,1.24,6,0.5,2.25,22.7,23.17,22.35,399.78,389.13,15.583,16.407,55.09,58,299.6,1199,38,97.9,22.9,-0.135,1,111114,-9999,-9999
22,13:30:09,5082.5,3.94,3.94,0.0332,94.2,0.42,1.23,6,0.5,2.25,22.66,23.1,22.35,298.82,290.68,15.59,16.417,55.31,58.18,299.6,1199,38,97.9,21.6,-0.124,1,111114,-9999,-9999
23,13:32:04,5197.5,2.89,2.89,0.0367,63.1,0.46,1.22,6,0.5,2.25,22.66,23.07,22.35,199.19,193.23,15.563,16.47,55.22,58.37,299.6,1199,38,97.9,19.8,-0.121,1,111114,-9999,-9999
24,13:33:52,5305,1.53,1.53,0.0415,36.1,0.515,1.21,6,0.5,2.25,22.67,23.06,22.35,100.4,97.24,15.536,16.55,55.12,58.64,299.6,1199,38,97.91,17.8,-0.122,1,111114,-9999,-9999
25,13:35:51,5424.5,0.82,0.82,0.0484,19.8,0.594,1.2,6,0.5,2.25,22.68,23.06,22.35,49.77,48.07,15.487,16.657,54.91,58.98,299.6,1199,38,97.91,16.5,-0.126,1,111114,-9999,-9999
26,13:37:27,5520,-0.233,-0.233,0.0533,6.54,0.649,1.19,6,0.5,2.25,22.69,23.07,22.35,-1,-0.53,15.482,16.759,54.88,59.31,299.6,1199,38,97.91,15.1,-0.126,1,111114,-9999,-9999
27,13:41:48,5781.5,4.21,4.21,0.0629,274,0.76,1.19,6,0.5,2.25,22.71,23.1,22.35,399.88,390.85,15.342,16.838,54.21,59.5,299.6,1199,38,97.91,22.9,-0.108,0.7,111114,-9999,-9999
28,13:42:49,5842.5,5.05,5.05,0.0569,238,0.697,1.2,6,0.5,2.25,22.71,23.1,22.35,399.64,388.98,15.354,16.726,54.33,59.1,299.6,1199,38,97.91,23,-0.107,1,111114,-9999,-9999
29,13:44:41,5954.5,5.89,5.89,0.0482,379,0.604,1.22,6,0.5,2.25,22.72,23.11,22.35,600.64,588.13,15.309,16.498,54.14,58.27,299.6,1199,38,97.91,25.4,-0.0943,1,111114,-9999,-9999
30,13:47:02,6095,6.27,6.27,0.0391,513,0.502,1.25,6,0.5,2.25,22.6,23.11,22.15,799.98,786.62,15.233,16.222,54.2,57.72,299.6,1199,38,97.92,27.4,-0.087,1,111114,-9999,-9999
