Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 20c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,282,NA,NA,NA,NA,NA,Tamarindusindica,NA,NA,NA,130.1003399,1.13,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,1.811973305,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
66,13:48:36,16326.50005,-0.025433805,-0.025433805,0.05765599,355.5286739,4.03708469,6.69005944,3.89,0.5,3.034369605,48.22283936,44.50089264,49.58488846,399.7377625,397.6902771,21.99277115,27.08240891,19.32691765,23.79819298,300.1972046,1199.437134,112.6849442,99.81125641,-0.161012173,1.496093392,1,111114,-9999,-9999
67,13:50:17,16427.00005,-0.572749354,-0.572749354,0.057153421,281.6282822,4.099214323,6.843866553,3.89,0.5,3.034369605,48.58993912,44.86758423,49.78321457,300.0473633,299.2001648,22.1759758,27.34302902,19.21699905,23.58242607,300.1697998,1199.346802,115.2844315,99.80773926,-0.019013882,1.504256845,1,111114,-9999,-9999
68,13:52:01,16531.50005,-1.167127655,-1.167127655,0.059561678,208.2611211,4.320834911,6.922863995,3.89,0.5,3.034369605,48.54075241,45.06519318,49.57029724,200.1133118,200.5031128,22.09032822,27.53567505,19.17140198,23.80508614,300.1687012,1198.947266,125.9536285,99.80245209,-0.011628628,1.531959176,1,111114,-9999,-9999
69,13:53:46,16636.00005,-1.569769412,-1.569769412,0.060372521,130.2646978,4.384556036,6.930564345,3.89,0.5,3.034369605,48.55066299,45.11441803,49.5876236,100.2013016,101.6580048,22.18116379,27.70589256,19.2635231,23.94017792,300.1662903,1198.77478,143.9637909,99.79804993,0.003248692,1.559587121,1,111114,-9999,-9999
70,13:57:36,16866.50005,-1.789832487,-1.789832487,0.064603261,78.08000046,4.642871674,6.869206601,3.89,0.5,3.034369605,47.95466614,45.01487732,48.80727768,37.76797104,39.84765244,21.97357368,27.82283783,19.56671906,24.77495766,300.1791077,1198.970825,112.2470398,99.80038452,0.004553318,1.576150537,1,111114,-9999,-9999
71,13:59:31,16981.00005,-0.183833439,-0.183833439,0.062952394,358.9593803,4.492742707,6.819105792,3.89,0.5,3.034369605,48.0695076,44.91400909,49.00466537,400.2813416,398.2012024,22.16500473,27.82510376,19.72354889,24.63281059,300.1798401,1200.431763,131.2675323,99.79373932,-0.343774319,1.561957955,1,111114,-9999,-9999
72,14:00:31,17041.00005,-0.349829137,-0.349829137,0.062987091,362.4982975,4.489897794,6.811262422,3.89,0.5,3.034369605,48.07128525,44.89612198,49.00305557,399.4280701,397.5681152,22.15896034,27.8157711,19.71559143,24.62160301,300.1670227,1200.299194,113.1273727,99.79090118,-0.177392483,1.555808663,1,111114,-9999,-9999
73,14:02:31,17161.00005,0.598291657,0.598291657,0.062755886,515.876701,4.459202683,6.789988742,3.89,0.5,3.034369605,47.91870499,44.843853,48.80773163,599.925354,595.7077026,22.15287209,27.77096748,19.86147308,24.77158546,300.183136,1200.386597,133.2019501,99.78778076,-0.904809475,1.553313851,1,111114,-9999,-9999
74,14:04:51,17301.50005,1.353695226,1.353695226,0.064077593,673.8282408,4.566112916,6.811218416,3.89,0.5,3.034369605,48.44914246,44.89156723,49.58974457,799.8446045,793.3956909,22.04220772,27.7949276,19.22109222,24.13819504,300.1794128,1200.244019,111.8375092,99.78624725,-1.645959377,1.514415383,1,111114,-9999,-9999
