Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 35c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,289,NA,NA,NA,NA,NA,Tamarindusindica,NA,NA,NA,127.9360524,2,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.326075348,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
16,13:32:11,4868.500019,0.37120932,0.37120932,0.008434797,127.5054245,0.049398254,0.572617232,4.401,0.5,2.844410899,13.54161263,13.92190361,13.16341019,200.1953278,199.6356659,10.28852558,10.36032295,65.27536774,65.72642517,299.6618958,1199.462769,44.67655182,98.79570007,-0.588191986,0.624191165,1,111114,-9999,-9999
17,13:33:52,4970.000019,-0.091767359,-0.091767359,0.005822894,124.004039,0.034385504,0.576859414,4.401,0.5,2.844410899,13.55442333,13.94891262,13.16119576,99.67366791,99.80339813,10.29559517,10.34557152,65.26973724,65.58317566,299.6717529,1199.412109,41.66194153,98.79723358,0.323963165,0.625171542,1,111114,-9999,-9999
18,13:37:39,5196.500019,-0.150264535,-0.150264535,0.009086903,78.57591275,0.053298322,0.573643142,4.401,0.5,2.844410899,13.54754543,13.94763279,13.16235542,52.44625854,52.66281891,10.29884243,10.37630558,65.31892395,65.81655884,299.6676331,1199.304199,41.54735565,98.80176544,-0.158668518,0.632778049,0.666666687,111134,-9999,-9999
20,13:41:09,5406.500019,1.762038725,1.762038725,0.008472346,61.437921,0.049552168,0.571911194,4.401,0.5,2.844410899,13.54374981,13.93436146,13.16058254,399.8152161,397.1984863,10.30748749,10.37950706,65.39302063,65.85181427,299.662323,1198.978149,44.11645126,98.80552673,-2.717536926,0.612012744,1,111114,-9999,-9999
22,13:45:43,5680.500019,4.51532357,4.51532357,0.012308179,198.9345916,0.071104278,0.565586289,4.401,0.5,2.844410899,13.53295422,13.91497231,13.16164875,799.3919067,792.6780396,10.32106113,10.42439461,65.51737976,66.17956543,299.6781311,1199.052246,42.3742218,98.79405975,-10.41950226,0.636821628,1,111114,-9999,-9999
23,13:47:29,5786.500019,5.62534636,5.62534636,0.012355169,254.2504672,0.071442215,0.566107121,4.401,0.5,2.844410899,13.5370779,13.92505169,13.16105366,999.5932617,991.2276611,10.32605839,10.42988682,65.53009796,66.19335175,299.6653748,1198.628784,41.25799179,98.79222107,-14.66162872,0.643450618,1,111114,-9999,-9999
24,13:49:37,5915.000019,4.823120595,4.823120595,0.010062743,416.2929985,0.058666618,0.570306632,4.401,0.5,2.844410899,13.55765533,13.96331978,13.16202068,1200.217896,1193.032349,10.34235096,10.42760468,65.56074524,66.08345795,299.6930542,1200.319214,42.02830505,98.79184723,-18.23206329,0.613842845,1,111114,-9999,-9999
25,13:51:58,6055.500019,5.518623134,5.518623134,0.014611627,874.38049,0.084084599,0.563838871,4.401,0.5,2.844410899,13.54349327,13.93646431,13.16169453,1500.570557,1492.28125,10.34233379,10.46453381,65.60694122,66.38841248,299.6594238,1200.460571,41.23351669,98.79494476,-24.74866486,0.63587749,1,111114,-9999,-9999
26,13:53:46,6164.000019,4.150221157,4.150221157,0.008116598,1159.318771,0.047004473,0.566164855,4.401,0.5,2.844410899,13.53520012,13.91337395,13.16166496,2000.315918,1994.083252,10.3481617,10.41647339,65.68746185,66.12057495,299.6732483,1200.716675,41.40424728,98.79775238,-35.3105545,0.607865214,1,111114,-9999,-9999
