Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 15c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,45,NA,NA,NA,NA,NA,Tipuanatipu,NA,NA,NA,203.6594342,2.17,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,2.040458278,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
40,12:49:55,10361,-0.177,-0.177,0.0101,399,0.464,4.42,6,0.5,2.25,27.97,32.21,26.78,399.94,399.93,3.264,4.19,8.51,10.92,299.7,1200,332,98.71,22.7,0.0663,0.7,111114,-9999,-9999
41,12:53:25,10570,-0.352,-0.352,0.0103,332,0.464,4.35,6,0.5,2.25,28.44,31.97,27.74,299.85,300.28,3.28,4.204,8.32,10.66,299.8,1200,366,98.72,21,0.0892,0.3,111114,-9999,-9999
42,12:56:54,10780,-0.253,-0.253,0.0103,224,0.464,4.34,6,0.5,2.25,28.33,31.93,27.49,199.79,200.11,3.3,4.225,8.42,10.78,299.7,1201,414,98.72,18.9,0.134,0.3,111114,-9999,-9999
43,13:00:23,10989,-0.356,-0.356,0.0103,147,0.462,4.34,6,0.5,2.25,28.45,31.96,27.77,99.68,100.3,3.334,4.255,8.45,10.78,299.6,1201,329,98.72,16.7,0.179,0.3,111114,-9999,-9999
44,13:03:52,11198,-0.36,-0.36,0.0102,103,0.458,4.34,6,0.5,2.25,28.45,31.96,27.77,51.02,51.69,3.345,4.257,8.48,10.79,299.7,1201,340,98.71,15.6,0.194,0.3,111114,-9999,-9999
45,13:07:22,11407,0.135,0.135,0.00992,352,0.449,4.37,6,0.5,2.25,28.48,32.03,27.72,401.43,400.79,3.293,4.189,8.33,10.6,299.7,1201,392,98.71,22.3,0.0488,0.3,111114,-9999,-9999
46,13:10:51,11617,-0.141,-0.141,0.00988,394,0.446,4.36,6,0.5,2.25,28.45,32,27.76,399.76,399.68,3.314,4.204,8.4,10.65,299.8,1201,331,98.71,22.5,0.0504,0.7,111114,-9999,-9999
47,13:14:20,11826,0.101,0.101,0.00972,541,0.439,4.36,6,0.5,2.25,28.32,31.99,27.57,600.13,599.4,3.31,4.185,8.45,10.68,299.7,1201,330,98.7,25.5,-0.0151,0.3,111114,-9999,-9999
48,13:17:50,12036,0.214,0.214,0.00979,710,0.441,4.35,6,0.5,2.25,28.32,31.94,27.52,800.38,799.25,3.303,4.182,8.43,10.67,299.8,1201,346,98.68,27.6,-0.0569,0.3,111114,-9999,-9999
49,13:21:19,12245,0.24,0.24,0.00986,892,0.444,4.35,6,0.5,2.25,28.45,31.95,27.74,1001,999.63,3.291,4.177,8.34,10.58,299.7,1201,406,98.67,30,-0.097,0.3,111114,-9999,-9999
50,13:24:48,12454,0.582,0.582,0.00971,1.02E+03,0.438,4.35,6,0.5,2.25,27.97,31.97,26.76,1200.32,1198.11,3.291,4.165,8.57,10.85,299.7,1200,326,98.66,31.3,-0.128,0.7,111114,-9999,-9999
51,13:28:18,12664,0.873,0.873,0.00979,1.25E+03,0.444,4.37,6,0.5,2.25,27.62,32.04,26.41,1500.39,1497.31,3.269,4.154,8.69,11.04,299.7,1199,329,98.66,32.8,-0.184,0.7,111114,-9999,-9999
52,13:31:47,12873,0.716,0.716,0.00961,1.74E+03,0.437,4.39,6,0.5,2.25,27.57,32.08,26.38,1999.68,1996.49,3.245,4.117,8.65,10.97,299.7,1200,355,98.65,34.6,-0.26,0.7,111114,-9999,-9999
