Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 30c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,9,NA,NA,NA,NA,NA,Ulmusamericana,NA,NA,NA,322.4944039,5.09,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,1.257412907,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
41,14:16:37,13284,3.35,3.35,0.0703,300,1.78,2.54,6,0.5,2.25,31.75,32.15,31.62,400.47,392.38,19.143,22.626,41.03,48.36,300.2,1199,0,100.6,-4.08,0.699,1,111114,-9999,-9999
42,14:17:53,13360.5,2.53,2.53,0.0725,226,1.83,2.53,6,0.5,2.25,31.49,32.14,31.24,300,293.86,19.114,22.688,41.55,49.21,300.2,1200,0,100.6,-2.41,0.7,1,111114,-9999,-9999
43,14:19:33,13460.5,1.65,1.65,0.0751,152,1.89,2.52,6,0.5,2.25,31.37,32.16,31.04,199.3,195.26,19.112,22.799,41.84,49.8,300.2,1200,0,100.6,-1.36,0.689,1,111114,-9999,-9999
44,14:20:46,13533,0.143,0.143,0.0764,91.1,1.91,2.5,6,0.5,2.25,31.12,32.11,30.66,98.74,98.08,19.155,22.877,42.55,50.66,300.2,1199,0,100.6,-0.122,0.675,1,111114,-9999,-9999
45,14:22:25,13632.5,-0.51,-0.51,0.0807,58.2,1.98,2.47,6,0.5,2.25,31.08,32.01,30.66,49.16,49.99,19.107,22.973,42.52,51,300.2,1199,0,100.6,0.0279,0.675,1,111114,-9999,-9999
46,14:25:18,13805.5,3.27,3.27,0.0812,312,1.97,2.44,6,0.5,2.25,31.38,31.9,31.28,401.05,392.97,19.069,22.919,41.7,50.01,300.3,1200,0,100.6,-3.02,0.704,1,111114,-9999,-9999
47,14:26:18,13865,3.29,3.29,0.0773,308,1.9,2.47,6,0.5,2.25,31.42,31.95,31.25,400.09,392.03,19.1,22.807,41.7,49.65,300.3,1201,0,100.6,-3.32,0.706,1,111114,-9999,-9999
48,14:28:00,13967.5,4.58,4.58,0.0757,467,1.87,2.48,6,0.5,2.25,31.44,31.96,31.25,599.8,588.43,19.033,22.69,41.48,49.34,300.2,1201,0,100.6,-6.45,0.725,1,111114,-9999,-9999
49,14:30:05,14092,5.09,5.09,0.0714,641,1.79,2.51,6,0.5,2.25,31.45,32,31.25,800.25,787.28,19.043,22.536,41.51,48.98,300.3,1201,0,100.6,-9.81,0.736,1,111114,-9999,-9999
50,14:32:25,14232,5.48,5.48,0.067,814,1.7,2.53,6,0.5,2.25,31.45,32,31.25,1000.08,985.79,19.058,22.369,41.56,48.61,300.3,1201,0,100.6,-13.7,0.745,1,111114,-9999,-9999
51,14:34:07,14334,6.05,6.05,0.0651,987,1.66,2.54,6,0.5,2.25,31.45,32.02,31.25,1200.4,1184.38,19.031,22.269,41.49,48.38,300.3,1201,0,100.6,-18.3,0.754,1,111114,-9999,-9999
52,14:36:31,14478.5,6.54,6.54,0.0653,1.26E+03,1.68,2.56,6,0.5,2.25,31.46,32.06,31.25,1499.94,1481.9,18.864,22.142,40.96,48.08,300.2,1201,0,100.6,-25,0.769,0.7,111124,-9999,-9999
53,14:39:28,14655,6.76,6.76,0.0604,1.72E+03,1.57,2.59,6,0.5,2.25,31.46,32.08,31.25,1999.24,1979.53,18.932,21.996,41.23,47.74,300.3,1200,0,100.5,-37.4,0.784,1,111124,-9999,-9999
