Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 35c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,100,NA,NA,NA,NA,NA,Ulmusamericana,NA,NA,NA,NA,NA,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,NA,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
27,6:59:06,9179.5,2.01,2.01,0.0281,269,0.528,1.83,6,0.5,2.25,23.18,25.26,22.31,399.45,395.01,13.068,14.109,45.31,48.92,299.9,1199,520,98.91,20.7,-0.242,0.7,111114,-9999,-9999
28,7:02:55,9408,1.71,1.71,0.0293,196,0.486,1.63,6,0.5,2.25,20.69,24.1,19.54,300.19,296.49,13.067,14.026,52.76,56.63,299.9,1199,522,98.9,18.5,-0.139,1,111114,-9999,-9999
29,7:06:44,9637,1.22,1.22,0.0382,141,0.576,1.48,6,0.5,2.25,19.99,23.38,18.88,199.63,196.96,13.076,14.211,55.12,59.91,300,1199,519,98.89,16.4,-0.0748,1,111114,-9999,-9999
30,7:08:33,9746.5,0.234,0.234,0.0436,87.7,0.63,1.43,6,0.5,2.25,19.78,23.16,18.67,99.17,98.58,13.136,14.377,56.2,61.41,300,1200,519,98.88,14.6,-0.0116,1,111114,-9999,-9999
31,7:09:46,9819.5,-0.174,-0.174,0.0483,54.3,0.682,1.4,6,0.5,2.25,19.66,23.05,18.56,49.32,49.6,13.151,14.496,56.68,62.38,300,1200,519,98.87,13.4,0.0292,1,111114,-9999,-9999
32,7:12:11,9964.5,2.98,2.98,0.0579,301,0.79,1.35,6,0.5,2.25,19.49,22.85,18.39,399.75,393.18,13.013,14.57,56.72,63.37,300,1200,521,98.87,19.2,-0.199,1,111114,-9999,-9999
33,7:13:25,10038.5,2.99,2.99,0.0633,308,0.85,1.34,6,0.5,2.25,19.42,22.79,18.34,399.78,393.14,12.97,14.645,56.64,63.95,300,1200,519,98.86,19.2,-0.205,1,111114,-9999,-9999
34,7:17:15,10268.5,3.85,3.85,0.059,474,0.792,1.33,6,0.5,2.25,19.27,22.65,18.19,600.79,592.16,12.888,14.45,56.79,63.68,300,1200,521,98.85,21.3,-0.298,0.7,111114,-9999,-9999
35,7:21:05,10498.5,4.39,4.39,0.0524,638,0.674,1.27,6,0.5,2.25,20.32,22.11,19.78,799.62,789.77,12.818,14.148,52.94,58.43,300,1201,525,98.84,22.8,-0.349,1,111114,-9999,-9999
36,7:23:20,10633,4.62,4.62,0.0351,757,0.522,1.46,6,0.5,2.25,19.61,23.02,18.49,1000.9,990.63,12.776,13.804,55.14,59.56,300,1201,526,98.84,23.8,-0.384,1,111114,-9999,-9999
37,7:25:42,10775.5,4.8,4.8,0.0294,900,0.436,1.45,6,0.5,2.25,19.3,22.86,18.2,1199.76,1189.13,12.716,13.576,55.92,59.71,300,1201,527,98.84,24.2,-0.422,1,111114,-9999,-9999
38,7:28:16,10929.5,4.67,4.67,0.0243,1.15E+03,0.367,1.48,6,0.5,2.25,19.55,22.9,18.59,1498.55,1488.13,12.689,13.413,55.01,58.09,300.1,1201,523,98.84,25.4,-0.496,1,111114,-9999,-9999
39,7:30:41,11074.5,5.36,5.36,0.0218,1.55E+03,0.336,1.51,6,0.5,2.25,19.59,22.98,18.6,2000.06,1987.99,12.566,13.23,54.3,57.17,300,1200,523,98.83,23.9,-0.6,1,111114,-9999,-9999
