Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 15c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2013,254,NA,NA,NA,NA,NA,Zeamays,NA,NA,NA,324.5764764,1.14,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,1.641984359,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
41,13:04:08,17598.5,0.941,0.941,0.0959,347,5.01,5.15,6,0.5,2.25,38.27,40.91,37.03,401.18,395.34,16.628,26.388,24.56,38.97,299.9,1199,447,99.78,26.8,-0.598,0.7,111114,-9999,-9999
42,13:07:39,17809.5,0.793,0.793,0.0904,257,4.79,5.21,6,0.5,2.25,38.61,40.96,37.84,299.86,295.44,16.65,25.986,24.14,37.68,299.9,1201,451,99.78,24.5,-0.534,0.7,111114,-9999,-9999
43,13:11:09,18019.5,0.566,0.566,0.0821,169,4.43,5.29,6,0.5,2.25,38.74,40.99,38.03,199.47,196.6,16.694,25.324,24.03,36.45,299.9,1201,404,99.77,22.3,-0.435,0.3,111114,-9999,-9999
44,13:14:40,18230.5,0.263,0.263,0.0783,83.8,4.26,5.32,6,0.5,2.25,38.74,40.99,38.03,98.78,97.42,16.734,25.035,24.09,36.04,299.9,1200,420,99.77,19.8,-0.323,0.3,111114,-9999,-9999
45,13:18:11,18441.5,0.0662,0.0662,0.0748,55.4,4.1,5.36,6,0.5,2.25,38.73,41.02,38.03,62.8,62.16,16.742,24.739,24.12,35.64,299.9,1200,463,99.77,18.7,-0.283,0.3,111114,-9999,-9999
46,13:21:42,18651.5,-0.609,-0.609,0.0773,25.9,4.18,5.29,6,0.5,2.25,38.33,40.9,37.47,13.66,14.75,16.781,24.933,24.71,36.71,299.9,1199,404,99.77,17.3,-0.214,0.3,111114,-9999,-9999
47,13:25:17,18867.5,1.22,1.22,0.0543,327,3.13,5.58,6,0.5,2.25,37.98,41.08,36.77,402.34,397.42,16.632,22.747,24.95,34.13,299.9,1199,405,99.76,26.3,-0.432,0.3,111114,-9999,-9999
48,13:28:47,19077.5,0.999,0.999,0.0443,326,2.57,5.6,6,0.5,2.25,37.53,40.86,36.45,400.37,396.34,16.644,21.674,25.58,33.31,299.9,1199,429,99.75,26.4,-0.387,0.7,111114,-9999,-9999
49,13:32:16,19286.5,1.15,1.15,0.0371,492,2.22,5.76,6,0.5,2.25,38.19,41.08,37.45,599.61,594.66,16.621,20.97,24.65,31.1,299.9,1200,474,99.75,30.4,-0.504,0.3,111114,-9999,-9999
50,13:35:46,19496.5,1.12,1.12,0.0323,668,1.93,5.77,6,0.5,2.25,37.5,40.96,36.31,800.08,794.76,16.63,20.421,25.6,31.43,299.9,1200,388,99.75,33.8,-0.541,0.3,111114,-9999,-9999
