Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 25c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,356,NA,NA,NA,NA,NA,Zeamays,NA,NA,NA,441.0462322,3.19,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,2.198098286,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
41,15:28:18,11958.00001,19.67442783,19.67442783,0.181329295,151.6249535,7.5343408,4.182268427,6,0.5,2.25,41.05149841,40.83995056,40.72958755,399.9656067,355.2164917,21.5964756,36.13610458,27.26890945,45.53951645,299.6807861,1200.16272,43.18228912,98.80969238,6.894647598,0.874675274,1,111114,-9999,-9999
42,15:30:29,12089.00001,16.95032591,16.95032591,0.187630965,93.6894145,7.696789925,4.138630099,6,0.5,2.25,41.58548355,40.84178925,41.71620178,298.9820862,261.0238037,21.73970604,36.58556747,26.83144188,44.82259369,299.6875,1200.081055,46.3605957,98.80925751,6.187158585,0.836654186,1,111114,-9999,-9999
43,15:32:01,12181.00001,13.33480095,13.33480095,0.200693691,48.25680277,8.130976048,4.107026817,6,0.5,2.25,41.65625381,40.93014526,41.72104263,199.7817535,170.3110504,21.60263443,37.275177,26.36719704,45.49095535,299.6792297,1200.064331,45.23347092,98.80706787,6.234445572,0.880424023,1,111114,-9999,-9999
44,15:33:36,12276.00001,7.467777464,7.467777464,0.218895236,20.81080584,8.638964094,4.027870522,6,0.5,2.25,41.68349838,40.97173309,41.72143936,99.90761566,83.51119995,21.61664772,38.25188446,26.3454628,46.61470413,299.6713867,1199.863403,42.93164444,98.80342865,5.713792801,0.862613201,1,111114,-9999,-9999
45,15:36:03,12423.00001,3.754211075,3.754211075,0.240848829,11.74284284,9.184762978,3.923384649,6,0.5,2.25,41.71207428,41.00664902,41.71977615,48.98065948,40.71569824,21.79673386,39.45980453,26.74817848,48.00992203,299.687439,1199.470215,43.84564972,98.79364014,5.519289017,0.916305065,1,111114,-9999,-9999
46,15:37:29,12509.00001,-0.009314624,-0.009314624,0.25444075,0.543895605,9.500810778,3.861305916,6,0.5,2.25,41.71529007,40.99657059,41.72002029,0.50545764,0.514322817,21.78818321,40.04716873,26.74003983,48.71621323,299.6989136,1200.343628,43.17022705,98.79040527,4.252635002,0.876220226,1,111114,-9999,-9999
47,15:41:57,12777.00001,16.95474142,16.95474142,0.23497589,214.6349896,9.14282493,3.992529672,6,0.5,2.25,41.74754715,41.10574722,41.72046661,400.4220886,359.88974,21.59730339,39.18468094,26.22517967,47.58704376,299.6887817,1199.2146,43.30064011,98.77433777,6.047678947,0.958407879,1,111114,-9999,-9999
48,15:42:58,12838.00001,16.1014235,16.1014235,0.219166339,213.4972848,8.720075442,4.057827945,6,0.5,2.25,41.74736023,41.11373138,41.72045898,399.1782532,360.6471863,21.77359009,38.55804443,26.65611076,46.82793045,299.7004089,1199.984741,42.37247086,98.77240753,6.721385002,0.944522381,1,111114,-9999,-9999
49,15:45:14,12974.00001,16.19064153,16.19064153,0.189441702,378.8735986,7.919684794,4.215831868,6,0.5,2.25,41.6217804,41.09539413,41.52095795,600.3826294,559.107666,21.6151638,36.88428116,26.41872787,45.08650208,299.7254944,1199.971313,46.20142365,98.76361084,6.6442976,0.911765575,1,111114,-9999,-9999
50,15:47:30,13110.00001,15.94778987,15.94778987,0.165390785,545.3347882,7.185021539,4.340360222,6,0.5,2.25,41.61869812,41.09367371,41.52218628,800.2731934,757.4520874,21.74724197,35.61869431,26.76706505,43.5412178,299.7134094,1199.235474,42.55744171,98.75656128,5.225047112,0.939677715,1,111114,-9999,-9999
